aggregatable,autoNumber,byteLength,calculated,calculatedFormula,cascadeDelete,caseSensitive,compoundFieldName,controllerName,createable,custom,defaultValue,defaultValueFormula,defaultedOnCreate,dependentPicklist,deprecatedAndHidden,digits,displayLocationInDecimal,encrypted,externalId,extraTypeInfo,filterable,filteredLookupInfo,groupable,highScaleNumber,htmlFormatted,idLookup,inlineHelpText,label,length,mask,maskType,name,nameField,namePointing,nillable,permissionable,picklistValues,polymorphicForeignKey,precision,queryByDistance,referenceTargetField,referenceTo,relationshipName,relationshipOrder,restrictedDelete,restrictedPicklist,scale,searchPrefilterable,soapType,sortable,type,unique,updateable,writeRequiresMasterRead
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,True,,Apex Test Result ID,18,,,Id,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,tns:ID,True,id,False,False,False
True,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,,System Modstamp,0,,,SystemModstamp,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
True,False,0,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Time Started,0,,,TestTimestamp,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,True,False
True,False,120,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Pass/Fail,40,,,Outcome,False,False,False,False,"[OrderedDict([('active', True), ('defaultValue', False), ('label', 'Pass'), ('validFor', None), ('value', 'Pass')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Fail'), ('validFor', None), ('value', 'Fail')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'CompileFail'), ('validFor', None), ('value', 'CompileFail')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Skip'), ('validFor', None), ('value', 'Skip')])]",False,0,False,,[],,,False,True,0,False,xsd:string,True,picklist,False,True,False
True,False,18,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Class ID,18,,,ApexClassId,False,False,False,False,[],False,0,False,,['ApexClass'],ApexClass,,False,False,0,False,tns:ID,True,reference,False,True,False
True,False,765,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Method Name,255,,,MethodName,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,True,False
True,False,4000,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Error Message,4000,,,Message,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,True,False
True,False,4000,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Stack Trace,4000,,,StackTrace,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,True,False
True,False,18,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Apex Job ID,18,,,AsyncApexJobId,False,False,True,False,[],False,0,False,,['AsyncApexJob'],AsyncApexJob,,False,False,0,False,tns:ID,True,reference,False,True,False
True,False,18,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Apex Test Queue Item ID,18,,,QueueItemId,False,False,True,False,[],False,0,False,,['ApexTestQueueItem'],QueueItem,,False,False,0,False,tns:ID,True,reference,False,True,False
True,False,18,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Log ID,18,,,ApexLogId,False,False,True,False,[],False,0,False,,['ApexLog'],ApexLog,,False,False,0,False,tns:ID,True,reference,False,True,False
True,False,18,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,ApexTestRunResult ID,18,,,ApexTestRunResultId,False,False,True,False,[],False,0,False,,['ApexTestRunResult'],ApexTestRunResult,,False,False,0,False,tns:ID,True,reference,False,True,False
True,False,0,False,,False,False,,,True,False,,,False,False,False,9,False,False,False,,True,,True,False,False,False,,Run Time,0,,,RunTime,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:int,True,int,False,True,False
