aggregatable,autoNumber,byteLength,calculated,calculatedFormula,cascadeDelete,caseSensitive,compoundFieldName,controllerName,createable,custom,defaultValue,defaultValueFormula,defaultedOnCreate,dependentPicklist,deprecatedAndHidden,digits,displayLocationInDecimal,encrypted,externalId,extraTypeInfo,filterable,filteredLookupInfo,groupable,highScaleNumber,htmlFormatted,idLookup,inlineHelpText,label,length,mask,maskType,name,nameField,namePointing,nillable,permissionable,picklistValues,polymorphicForeignKey,precision,queryByDistance,referenceTargetField,referenceTo,relationshipName,relationshipOrder,restrictedDelete,restrictedPicklist,scale,searchPrefilterable,soapType,sortable,type,unique,updateable,writeRequiresMasterRead
False,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,False,,False,False,False,True,,Change Event ID,18,,,Id,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,tns:ID,False,id,False,False,False
False,False,3000,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,Replay ID,1000,,,ReplayId,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,False,string,False,False,False
False,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,Change Event Header,0,,,ChangeEventHeader,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,ChangeEventHeader,False,complexvalue,False,False,False
False,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,Contact ID,18,,,ContactId,False,False,True,False,[],False,0,False,,['Contact'],,,False,False,0,False,tns:ID,False,reference,False,False,False
False,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,Account ID,18,,,AccountId,False,False,True,False,[],False,0,False,,['Account'],,,False,False,0,False,tns:ID,False,reference,False,False,False
False,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,Parent Asset ID,18,,,ParentId,False,False,True,False,[],False,0,False,,['Asset'],,,False,False,0,False,tns:ID,False,reference,False,False,False
False,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,Root Asset ID,18,,,RootAssetId,False,False,True,False,[],False,0,False,,['Asset'],,,False,False,0,False,tns:ID,False,reference,False,False,False
False,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,Product ID,18,,,Product2Id,False,False,True,False,[],False,0,False,,['Product2'],,,False,False,0,False,tns:ID,False,reference,False,False,False
False,False,0,False,,False,False,,,False,False,False,,True,False,False,0,False,False,False,,False,,False,False,False,False,,Competitor Asset,0,,,IsCompetitorProduct,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,False,boolean,False,False,False
False,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,False,,False,False,False,False,,Created Date,0,,,CreatedDate,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,False,datetime,False,False,False
