aggregatable,autoNumber,byteLength,calculated,calculatedFormula,cascadeDelete,caseSensitive,compoundFieldName,controllerName,createable,custom,defaultValue,defaultValueFormula,defaultedOnCreate,dependentPicklist,deprecatedAndHidden,digits,displayLocationInDecimal,encrypted,externalId,extraTypeInfo,filterable,filteredLookupInfo,groupable,highScaleNumber,htmlFormatted,idLookup,inlineHelpText,label,length,mask,maskType,name,nameField,namePointing,nillable,permissionable,picklistValues,polymorphicForeignKey,precision,queryByDistance,referenceTargetField,referenceTo,relationshipName,relationshipOrder,restrictedDelete,restrictedPicklist,scale,searchPrefilterable,soapType,sortable,type,unique,updateable,writeRequiresMasterRead
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,True,,Apex Job ID,18,,,Id,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,tns:ID,True,id,False,False,False
True,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,,Created Date,0,,,CreatedDate,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Created By ID,18,,,CreatedById,False,False,False,False,[],False,0,False,,['User'],CreatedBy,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,120,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Job Type,40,,,JobType,False,False,False,False,"[OrderedDict([('active', True), ('defaultValue', False), ('label', 'Future'), ('validFor', None), ('value', 'Future')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Sharing Recalculation'), ('validFor', None), ('value', 'SharingRecalculation')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Scheduled Apex'), ('validFor', None), ('value', 'ScheduledApex')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Batch Apex'), ('validFor', None), ('value', 'BatchApex')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Batch Apex Worker'), ('validFor', None), ('value', 'BatchApexWorker')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Test Request'), ('validFor', None), ('value', 'TestRequest')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Test Worker'), ('validFor', None), ('value', 'TestWorker')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Apex Token'), ('validFor', None), ('value', 'ApexToken')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Queueable'), ('validFor', None), ('value', 'Queueable')])]",False,0,False,,[],,,False,True,0,False,xsd:string,True,picklist,False,False,False
True,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Class ID,18,,,ApexClassId,False,False,True,False,[],False,0,False,,['ApexClass'],ApexClass,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,120,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Status,40,,,Status,False,False,False,False,"[OrderedDict([('active', True), ('defaultValue', False), ('label', 'Queued'), ('validFor', None), ('value', 'Queued')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Processing'), ('validFor', None), ('value', 'Processing')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Aborted'), ('validFor', None), ('value', 'Aborted')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Completed'), ('validFor', None), ('value', 'Completed')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Failed'), ('validFor', None), ('value', 'Failed')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Preparing'), ('validFor', None), ('value', 'Preparing')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Holding'), ('validFor', None), ('value', 'Holding')])]",False,0,False,,[],,,False,True,0,False,xsd:string,True,picklist,False,False,False
True,False,0,False,,False,False,,,False,False,,,False,False,False,9,False,False,False,,True,,True,False,False,False,,Batches Processed,0,,,JobItemsProcessed,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:int,True,int,False,False,False
True,False,0,False,,False,False,,,False,False,,,False,False,False,9,False,False,False,,True,,True,False,False,False,,Total Batches,0,,,TotalJobItems,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:int,True,int,False,False,False
True,False,0,False,,False,False,,,False,False,,,False,False,False,9,False,False,False,,True,,True,False,False,False,,Failures,0,,,NumberOfErrors,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:int,True,int,False,False,False
True,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Completion Date,0,,,CompletedDate,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
True,False,765,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Apex Method,255,,,MethodName,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,False,False
True,False,765,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Status Detail,255,,,ExtendedStatus,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,False,False
True,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Apex Job ID,18,,,ParentJobId,False,False,True,False,[],False,0,False,,['AsyncApexJob'],,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,45,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Last ID processed and committed,15,,,LastProcessed,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,False,False
True,False,0,False,,False,False,,,False,False,,,False,False,False,9,False,False,False,,True,,True,False,False,False,,Offset of last ID processed and committed,0,,,LastProcessedOffset,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:int,True,int,False,False,False
