aggregatable,autoNumber,byteLength,calculated,calculatedFormula,cascadeDelete,caseSensitive,compoundFieldName,controllerName,createable,custom,defaultValue,defaultValueFormula,defaultedOnCreate,dependentPicklist,deprecatedAndHidden,digits,displayLocationInDecimal,encrypted,externalId,extraTypeInfo,filterable,filteredLookupInfo,groupable,highScaleNumber,htmlFormatted,idLookup,inlineHelpText,label,length,mask,maskType,name,nameField,namePointing,nillable,permissionable,picklistValues,polymorphicForeignKey,precision,queryByDistance,referenceTargetField,referenceTo,relationshipName,relationshipOrder,restrictedDelete,restrictedPicklist,scale,searchPrefilterable,soapType,sortable,type,unique,updateable,writeRequiresMasterRead
False,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,True,,Lightning Definition ID,18,,,Id,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,tns:ID,True,id,False,False,False
False,False,765,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Durable ID,255,,,DurableId,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,False,False
False,False,300,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Lightning Definition Bundle ID,100,,,AuraDefinitionBundleInfoId,False,False,True,False,[],False,0,False,,['AuraDefinitionBundleInfo'],AuraDefinitionBundleInfo,,False,False,0,False,xsd:string,True,string,False,False,False
False,False,54,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Lightning Definition ID,18,,,AuraDefinitionId,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,False,False
False,False,765,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Definition Type,255,,,DefType,False,False,False,False,"[OrderedDict([('active', True), ('defaultValue', False), ('label', '0'), ('validFor', None), ('value', 'APPLICATION')]), OrderedDict([('active', True), ('defaultValue', False), ('label', '1'), ('validFor', None), ('value', 'CONTROLLER')]), OrderedDict([('active', True), ('defaultValue', False), ('label', '2'), ('validFor', None), ('value', 'COMPONENT')]), OrderedDict([('active', True), ('defaultValue', False), ('label', '3'), ('validFor', None), ('value', 'EVENT')]), OrderedDict([('active', True), ('defaultValue', False), ('label', '4'), ('validFor', None), ('value', 'HELPER')]), OrderedDict([('active', True), ('defaultValue', False), ('label', '5'), ('validFor', None), ('value', 'INTERFACE')]), OrderedDict([('active', True), ('defaultValue', False), ('label', '7'), ('validFor', None), ('value', 'RENDERER')]), OrderedDict([('active', True), ('defaultValue', False), ('label', '8'), ('validFor', None), ('value', 'STYLE')]), OrderedDict([('active', True), ('defaultValue', False), ('label', '9'), ('validFor', None), ('value', 'PROVIDER')]), OrderedDict([('active', True), ('defaultValue', False), ('label', '10'), ('validFor', None), ('value', 'MODEL')]), OrderedDict([('active', True), ('defaultValue', False), ('label', '11'), ('validFor', None), ('value', 'TESTSUITE')]), OrderedDict([('active', True), ('defaultValue', False), ('label', '12'), ('validFor', None), ('value', 'DOCUMENTATION')]), OrderedDict([('active', True), ('defaultValue', False), ('label', '13'), ('validFor', None), ('value', 'TOKENS')]), OrderedDict([('active', True), ('defaultValue', False), ('label', '14'), ('validFor', None), ('value', 'DESIGN')]), OrderedDict([('active', True), ('defaultValue', False), ('label', '15'), ('validFor', None), ('value', 'SVG')]), OrderedDict([('active', True), ('defaultValue', False), ('label', '16'), ('validFor', None), ('value', 'MODULE')])]",False,0,False,,[],,,False,True,0,False,xsd:string,True,picklist,False,False,False
False,False,765,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Format,255,,,Format,False,False,False,False,"[OrderedDict([('active', True), ('defaultValue', False), ('label', 'XML'), ('validFor', None), ('value', 'XML')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'JS'), ('validFor', None), ('value', 'JS')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'CSS'), ('validFor', None), ('value', 'CSS')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'TEMPLATE_CSS'), ('validFor', None), ('value', 'TEMPLATE_CSS')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'SVG'), ('validFor', None), ('value', 'SVG')])]",False,0,False,,[],,,False,True,0,False,xsd:string,True,picklist,False,False,False
False,False,1000000,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,plaintextarea,True,,False,False,False,False,,Source,1000000,,,Source,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,textarea,False,False,False
False,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,,Last Modified Date,0,,,LastModifiedDate,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
False,False,240,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Bundle Name,80,,,DeveloperName,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,False,False
False,False,45,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Namespace Prefix,15,,,NamespacePrefix,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,False,False
