aggregatable,autoNumber,byteLength,calculated,calculatedFormula,cascadeDelete,caseSensitive,compoundFieldName,controllerName,createable,custom,defaultValue,defaultValueFormula,defaultedOnCreate,dependentPicklist,deprecatedAndHidden,digits,displayLocationInDecimal,encrypted,externalId,extraTypeInfo,filterable,filteredLookupInfo,groupable,highScaleNumber,htmlFormatted,idLookup,inlineHelpText,label,length,mask,maskType,name,nameField,namePointing,nillable,permissionable,picklistValues,polymorphicForeignKey,precision,queryByDistance,referenceTargetField,referenceTo,relationshipName,relationshipOrder,restrictedDelete,restrictedPicklist,scale,searchPrefilterable,soapType,sortable,type,unique,updateable,writeRequiresMasterRead
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,True,,Auth. Provider ID,18,,,Id,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,tns:ID,True,id,False,False,False
True,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,,Created Date,0,,,CreatedDate,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
True,False,120,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Provider Type,40,,,ProviderType,False,False,False,False,"[OrderedDict([('active', True), ('defaultValue', False), ('label', 'Facebook'), ('validFor', None), ('value', 'Facebook')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Janrain'), ('validFor', None), ('value', 'Janrain')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Salesforce'), ('validFor', None), ('value', 'Salesforce')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Open ID Connect'), ('validFor', None), ('value', 'OpenIdConnect')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Microsoft Access Control Service'), ('validFor', None), ('value', 'MicrosoftACS')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'LinkedIn'), ('validFor', None), ('value', 'LinkedIn')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Twitter'), ('validFor', None), ('value', 'Twitter')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Google'), ('validFor', None), ('value', 'Google')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'GitHub'), ('validFor', None), ('value', 'GitHub')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Custom'), ('validFor', None), ('value', 'Custom')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Apple'), ('validFor', None), ('value', 'Apple')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Evergreen'), ('validFor', None), ('value', 'Evergreen')])]",False,0,False,,[],,,False,True,0,False,xsd:string,True,picklist,False,True,False
True,False,96,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,True,,Name,32,,,FriendlyName,True,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,True,False
True,False,96,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,URL Suffix,32,,,DeveloperName,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,True,False
True,False,18,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Class ID,18,,,RegistrationHandlerId,False,False,True,False,[],False,0,False,,['ApexClass'],,,False,False,0,False,tns:ID,True,reference,False,True,False
True,False,18,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,User ID,18,,,ExecutionUserId,False,False,True,False,[],False,0,False,,['User'],,,False,False,0,False,tns:ID,True,reference,False,True,False
True,False,768,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Consumer Key,256,,,ConsumerKey,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,True,False
False,False,300,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,Consumer Secret,100,,,ConsumerSecret,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,False,string,False,False,False
True,False,1500,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Custom Error URL,500,,,ErrorUrl,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,True,False
