aggregatable,autoNumber,byteLength,calculated,calculatedFormula,cascadeDelete,caseSensitive,compoundFieldName,controllerName,createable,custom,defaultValue,defaultValueFormula,defaultedOnCreate,dependentPicklist,deprecatedAndHidden,digits,displayLocationInDecimal,encrypted,externalId,extraTypeInfo,filterable,filteredLookupInfo,groupable,highScaleNumber,htmlFormatted,idLookup,inlineHelpText,label,length,mask,maskType,name,nameField,namePointing,nillable,permissionable,picklistValues,polymorphicForeignKey,precision,queryByDistance,referenceTargetField,referenceTo,relationshipName,relationshipOrder,restrictedDelete,restrictedPicklist,scale,searchPrefilterable,soapType,sortable,type,unique,updateable,writeRequiresMasterRead
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,True,,Auth Session ID,18,,,Id,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,tns:ID,True,id,False,False,False
True,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,User ID,18,,,UsersId,False,False,True,False,[],False,0,False,,['User'],Users,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,,Created,0,,,CreatedDate,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
True,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,,Updated,0,,,LastModifiedDate,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
True,False,0,False,,False,False,,,False,False,,,False,False,False,9,False,False,False,,True,,True,False,False,False,,Valid For,0,,,NumSecondsValid,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:int,True,int,False,False,False
True,False,120,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,User Type,40,,,UserType,False,False,False,False,"[OrderedDict([('active', True), ('defaultValue', False), ('label', 'Standard'), ('validFor', None), ('value', 'Standard')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Partner'), ('validFor', None), ('value', 'PowerPartner')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Customer Portal Manager'), ('validFor', None), ('value', 'PowerCustomerSuccess')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Customer Portal User'), ('validFor', None), ('value', 'CustomerSuccess')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Guest'), ('validFor', None), ('value', 'Guest')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'High Volume Portal'), ('validFor', None), ('value', 'CspLitePortal')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'CSN Only'), ('validFor', None), ('value', 'CsnOnly')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Self Service'), ('validFor', None), ('value', 'SelfService')])]",False,0,False,,[],,,False,True,0,False,xsd:string,True,picklist,False,False,False
True,False,39,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Source IP,39,,,SourceIp,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,False,False
True,False,120,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Login,40,,,LoginType,False,False,True,False,[],False,0,False,,[],,,False,True,0,False,xsd:string,True,picklist,False,False,False
True,False,120,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Session Type,40,,,SessionType,False,False,True,False,[],False,0,False,,[],,,False,True,0,False,xsd:string,True,picklist,False,False,False
True,False,120,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Session Security Level,40,,,SessionSecurityLevel,False,False,True,False,"[OrderedDict([('active', True), ('defaultValue', False), ('label', None), ('validFor', None), ('value', 'LOW')]), OrderedDict([('active', True), ('defaultValue', False), ('label', None), ('validFor', None), ('value', 'STANDARD')]), OrderedDict([('active', True), ('defaultValue', False), ('label', None), ('validFor', None), ('value', 'HIGH_ASSURANCE')])]",False,0,False,,[],,,False,True,0,False,xsd:string,True,picklist,False,False,False
True,False,1500,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Logout URL,1500,,,LogoutUrl,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,False,False
True,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Auth Session ID,18,,,ParentId,False,False,True,False,[],False,0,False,,['AuthSession'],,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Login History ID,18,,,LoginHistoryId,False,False,True,False,[],False,0,False,,['LoginHistory'],LoginHistory,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Login Geo Data ID,18,,,LoginGeoId,False,False,True,False,[],False,0,False,,['LoginGeo'],LoginGeo,,False,False,0,False,tns:ID,True,reference,False,False,False
False,False,0,False,,False,False,,,False,False,False,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Current Session,0,,,IsCurrent,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,True,boolean,False,False,False
