aggregatable,autoNumber,byteLength,calculated,calculatedFormula,cascadeDelete,caseSensitive,compoundFieldName,controllerName,createable,custom,defaultValue,defaultValueFormula,defaultedOnCreate,dependentPicklist,deprecatedAndHidden,digits,displayLocationInDecimal,encrypted,externalId,extraTypeInfo,filterable,filteredLookupInfo,groupable,highScaleNumber,htmlFormatted,idLookup,inlineHelpText,label,length,mask,maskType,name,nameField,namePointing,nillable,permissionable,picklistValues,polymorphicForeignKey,precision,queryByDistance,referenceTargetField,referenceTo,relationshipName,relationshipOrder,restrictedDelete,restrictedPicklist,scale,searchPrefilterable,soapType,sortable,type,unique,updateable,writeRequiresMasterRead
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,True,,Business Hours ID,18,,,Id,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,tns:ID,True,id,False,False,False
True,False,240,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,True,,Business Hours Name,80,,,Name,True,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,True,False
False,False,0,False,,False,False,,,True,False,False,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Active,0,,,IsActive,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,True,boolean,False,True,False
False,False,0,False,,False,False,,,True,False,False,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Default Business Hours,0,,,IsDefault,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,True,boolean,False,True,False
False,False,0,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Sunday Start,0,,,SundayStartTime,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:time,True,time,False,True,False
False,False,0,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Sunday End,0,,,SundayEndTime,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:time,True,time,False,True,False
False,False,0,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Monday Start,0,,,MondayStartTime,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:time,True,time,False,True,False
False,False,0,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Monday End,0,,,MondayEndTime,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:time,True,time,False,True,False
False,False,0,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Tuesday Start,0,,,TuesdayStartTime,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:time,True,time,False,True,False
False,False,0,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Tuesday End,0,,,TuesdayEndTime,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:time,True,time,False,True,False
False,False,0,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Wednesday Start,0,,,WednesdayStartTime,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:time,True,time,False,True,False
False,False,0,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Wednesday End,0,,,WednesdayEndTime,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:time,True,time,False,True,False
False,False,0,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Thursday Start,0,,,ThursdayStartTime,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:time,True,time,False,True,False
False,False,0,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Thursday End,0,,,ThursdayEndTime,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:time,True,time,False,True,False
False,False,0,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Friday Start,0,,,FridayStartTime,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:time,True,time,False,True,False
False,False,0,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Friday End,0,,,FridayEndTime,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:time,True,time,False,True,False
False,False,0,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Saturday Start,0,,,SaturdayStartTime,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:time,True,time,False,True,False
False,False,0,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Saturday End,0,,,SaturdayEndTime,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:time,True,time,False,True,False
