aggregatable,autoNumber,byteLength,calculated,calculatedFormula,cascadeDelete,caseSensitive,compoundFieldName,controllerName,createable,custom,defaultValue,defaultValueFormula,defaultedOnCreate,dependentPicklist,deprecatedAndHidden,digits,displayLocationInDecimal,encrypted,externalId,extraTypeInfo,filterable,filteredLookupInfo,groupable,highScaleNumber,htmlFormatted,idLookup,inlineHelpText,label,length,mask,maskType,name,nameField,namePointing,nillable,permissionable,picklistValues,polymorphicForeignKey,precision,queryByDistance,referenceTargetField,referenceTo,relationshipName,relationshipOrder,restrictedDelete,restrictedPicklist,scale,searchPrefilterable,soapType,sortable,type,unique,updateable,writeRequiresMasterRead
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,True,,Campaign ID,18,,,Id,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,tns:ID,True,id,False,False,False
False,False,0,False,,False,False,,,False,False,False,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Deleted,0,,,IsDeleted,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,True,boolean,False,False,False
True,False,240,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,True,,Name,80,,,Name,True,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,True,False
True,False,18,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Parent Campaign ID,18,,,ParentId,False,False,True,True,[],False,0,False,,['Campaign'],Parent,,False,False,0,True,tns:ID,True,reference,False,True,False
True,False,120,False,,False,False,,,True,False,Event,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Type,40,,,Type,False,False,True,True,"[OrderedDict([('active', True), ('defaultValue', True), ('label', 'Event'), ('validFor', None), ('value', 'Event')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Demo Signup / Trial'), ('validFor', None), ('value', 'Demo Signup / Trial')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Email'), ('validFor', None), ('value', 'Email')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Referral Program'), ('validFor', None), ('value', 'Referral Program')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Search'), ('validFor', None), ('value', 'Search')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Social Media'), ('validFor', None), ('value', 'Social Media')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Thought Leadership'), ('validFor', None), ('value', 'Thought Leadership')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Website Direct'), ('validFor', None), ('value', 'Website Direct')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Other'), ('validFor', None), ('value', 'Other')])]",False,0,False,,[],,,False,False,0,False,xsd:string,True,picklist,False,True,False
True,False,120,False,,False,False,,,True,False,Planned,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Status,40,,,Status,False,False,True,True,"[OrderedDict([('active', True), ('defaultValue', False), ('label', 'In Progress'), ('validFor', None), ('value', 'In Progress')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Completed'), ('validFor', None), ('value', 'Completed')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Aborted'), ('validFor', None), ('value', 'Aborted')]), OrderedDict([('active', True), ('defaultValue', True), ('label', 'Planned'), ('validFor', None), ('value', 'Planned')])]",False,0,False,,[],,,False,False,0,False,xsd:string,True,picklist,False,True,False
True,False,0,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Start Date,0,,,StartDate,False,False,True,True,[],False,0,False,,[],,,False,False,0,False,xsd:date,True,date,False,True,False
True,False,0,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,End Date,0,,,EndDate,False,False,True,True,[],False,0,False,,[],,,False,False,0,False,xsd:date,True,date,False,True,False
True,False,0,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Expected Revenue in Campaign,0,,,ExpectedRevenue,False,False,True,True,[],False,18,False,,[],,,False,False,0,False,xsd:double,True,currency,False,True,False
True,False,0,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Budgeted Cost in Campaign,0,,,BudgetedCost,False,False,True,True,[],False,18,False,,[],,,False,False,0,False,xsd:double,True,currency,False,True,False
True,False,0,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Actual Cost in Campaign,0,,,ActualCost,False,False,True,True,[],False,18,False,,[],,,False,False,0,False,xsd:double,True,currency,False,True,False
True,False,0,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Expected Response (%),0,,,ExpectedResponse,False,False,True,True,[],False,10,False,,[],,,False,False,2,False,xsd:double,True,percent,False,True,False
True,False,0,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Num Sent in Campaign,0,,,NumberSent,False,False,True,True,[],False,18,False,,[],,,False,False,0,False,xsd:double,True,double,False,True,False
False,False,0,False,,False,False,,,True,False,False,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Active,0,,,IsActive,False,False,False,True,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,True,boolean,False,True,False
False,False,96000,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,plaintextarea,False,,False,False,False,False,,Description,32000,,,Description,False,False,True,True,[],False,0,False,,[],,,False,False,0,False,xsd:string,False,textarea,False,True,False
True,False,0,False,,False,False,,,False,False,,,False,False,False,9,False,False,False,,True,,True,False,False,False,,Leads in Campaign,0,,,NumberOfLeads,False,False,False,True,[],False,0,False,,[],,,False,False,0,False,xsd:int,True,int,False,False,False
True,False,0,False,,False,False,,,False,False,,,False,False,False,9,False,False,False,,True,,True,False,False,False,,Converted Leads in Campaign,0,,,NumberOfConvertedLeads,False,False,False,True,[],False,0,False,,[],,,False,False,0,False,xsd:int,True,int,False,False,False
True,False,0,False,,False,False,,,False,False,,,False,False,False,9,False,False,False,,True,,True,False,False,False,,Contacts in Campaign,0,,,NumberOfContacts,False,False,False,True,[],False,0,False,,[],,,False,False,0,False,xsd:int,True,int,False,False,False
True,False,0,False,,False,False,,,False,False,,,False,False,False,9,False,False,False,,True,,True,False,False,False,,Responses in Campaign,0,,,NumberOfResponses,False,False,False,True,[],False,0,False,,[],,,False,False,0,False,xsd:int,True,int,False,False,False
True,False,0,False,,False,False,,,False,False,,,False,False,False,9,False,False,False,,True,,True,False,False,False,,Opportunities in Campaign,0,,,NumberOfOpportunities,False,False,False,True,[],False,0,False,,[],,,False,False,0,False,xsd:int,True,int,False,False,False
True,False,0,False,,False,False,,,False,False,,,False,False,False,9,False,False,False,,True,,True,False,False,False,,Won Opportunities in Campaign,0,,,NumberOfWonOpportunities,False,False,False,True,[],False,0,False,,[],,,False,False,0,False,xsd:int,True,int,False,False,False
True,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Value Opportunities in Campaign,0,,,AmountAllOpportunities,False,False,False,True,[],False,18,False,,[],,,False,False,0,False,xsd:double,True,currency,False,False,False
True,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Value Won Opportunities in Campaign,0,,,AmountWonOpportunities,False,False,False,True,[],False,18,False,,[],,,False,False,0,False,xsd:double,True,currency,False,False,False
True,False,0,False,,False,False,,,False,False,,,False,False,False,9,False,False,False,,True,,True,False,False,False,,Leads in Hierarchy,0,,,HierarchyNumberOfLeads,False,False,True,True,[],False,0,False,,[],,,False,False,0,False,xsd:int,True,int,False,False,False
True,False,0,False,,False,False,,,False,False,,,False,False,False,9,False,False,False,,True,,True,False,False,False,,Converted Leads in Hierarchy,0,,,HierarchyNumberOfConvertedLeads,False,False,True,True,[],False,0,False,,[],,,False,False,0,False,xsd:int,True,int,False,False,False
