aggregatable,autoNumber,byteLength,calculated,calculatedFormula,cascadeDelete,caseSensitive,compoundFieldName,controllerName,createable,custom,defaultValue,defaultValueFormula,defaultedOnCreate,dependentPicklist,deprecatedAndHidden,digits,displayLocationInDecimal,encrypted,externalId,extraTypeInfo,filterable,filteredLookupInfo,groupable,highScaleNumber,htmlFormatted,idLookup,inlineHelpText,label,length,mask,maskType,name,nameField,namePointing,nillable,permissionable,picklistValues,polymorphicForeignKey,precision,queryByDistance,referenceTargetField,referenceTo,relationshipName,relationshipOrder,restrictedDelete,restrictedPicklist,scale,searchPrefilterable,soapType,sortable,type,unique,updateable,writeRequiresMasterRead
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,True,,Library ID,18,,,Id,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,tns:ID,True,id,False,False,False
True,False,765,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,True,,Name,255,,,Name,True,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,True,False
True,False,1500,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,plaintextarea,True,,False,False,False,False,,Description,500,,,Description,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,textarea,False,True,False
True,False,120,False,,False,False,,,False,False,U,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Tag Model,40,,,TagModel,False,False,True,False,"[OrderedDict([('active', True), ('defaultValue', True), ('label', 'Unrestricted'), ('validFor', None), ('value', 'U')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Guided'), ('validFor', None), ('value', 'G')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Restricted'), ('validFor', None), ('value', 'R')])]",False,0,False,,[],,,False,True,0,False,xsd:string,True,picklist,False,False,False
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Created By ID,18,,,CreatedById,False,False,False,False,[],False,0,False,,['User'],CreatedBy,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,,Created Date,0,,,CreatedDate,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Last Modified By ID,18,,,LastModifiedById,False,False,False,False,[],False,0,False,,['User'],LastModifiedBy,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,,System Modstamp,0,,,SystemModstamp,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
True,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,,Last Modified Date,0,,,LastModifiedDate,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
True,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Record Type ID,18,,,DefaultRecordTypeId,False,False,True,False,[],False,0,False,,['RecordType'],,,False,False,0,False,tns:ID,True,reference,False,False,False
False,False,0,False,,False,False,,,False,False,False,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Restrict Record Types,0,,,IsRestrictContentTypes,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,True,boolean,False,False,False
False,False,0,False,,False,False,,,False,False,False,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Restrict Linked Record Types,0,,,IsRestrictLinkedContentTypes,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,True,boolean,False,False,False
True,False,120,False,,False,False,,,False,False,R,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Library Type,40,,,WorkspaceType,False,False,True,False,"[OrderedDict([('active', True), ('defaultValue', True), ('label', 'Regular'), ('validFor', None), ('value', 'R')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Asset System'), ('validFor', None), ('value', 'B')])]",False,0,False,,[],,,False,True,0,False,xsd:string,True,picklist,False,False,False
False,False,0,False,,False,False,,,True,False,False,,True,False,False,0,False,False,False,,False,,True,False,False,False,,Add Creator Membership,0,,,ShouldAddCreatorMembership,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,False,boolean,False,False,False
True,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,Last Activity,0,,,LastWorkspaceActivityDate,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
True,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Content Folder ID,18,,,RootContentFolderId,False,False,True,False,[],False,0,False,,['ContentFolder'],,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,45,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Namespace Prefix,15,,,NamespacePrefix,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,False,False
True,False,240,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Unique Name,80,,,DeveloperName,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,True,False
