aggregatable,autoNumber,byteLength,calculated,calculatedFormula,cascadeDelete,caseSensitive,compoundFieldName,controllerName,createable,custom,defaultValue,defaultValueFormula,defaultedOnCreate,dependentPicklist,deprecatedAndHidden,digits,displayLocationInDecimal,encrypted,externalId,extraTypeInfo,filterable,filteredLookupInfo,groupable,highScaleNumber,htmlFormatted,idLookup,inlineHelpText,label,length,mask,maskType,name,nameField,namePointing,nillable,permissionable,picklistValues,polymorphicForeignKey,precision,queryByDistance,referenceTargetField,referenceTo,relationshipName,relationshipOrder,restrictedDelete,restrictedPicklist,scale,searchPrefilterable,soapType,sortable,type,unique,updateable,writeRequiresMasterRead
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,True,,Dashboard ID,18,,,Id,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,tns:ID,True,id,False,False,False
False,False,0,False,,False,False,,,False,False,False,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Deleted,0,,,IsDeleted,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,True,boolean,False,False,False
True,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Folder ID,18,,,FolderId,False,False,False,False,[],True,0,False,,"['Folder', 'User']",Folder,,False,False,0,True,tns:ID,True,reference,False,False,False
True,False,768,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Folder Name,256,,,FolderName,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,False,False
True,False,240,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,True,,Title,80,,,Title,True,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,False,False
True,False,240,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Dashboard Unique Name,80,,,DeveloperName,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,False,False
True,False,45,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Namespace Prefix,15,,,NamespacePrefix,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,False,False
True,False,765,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Description,255,,,Description,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,False,False
True,False,120,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Left Size,40,,,LeftSize,False,False,False,False,"[OrderedDict([('active', True), ('defaultValue', False), ('label', 'Narrow'), ('validFor', None), ('value', 'Narrow')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Medium'), ('validFor', None), ('value', 'Medium')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Wide'), ('validFor', None), ('value', 'Wide')])]",False,0,False,,[],,,False,True,0,False,xsd:string,True,picklist,False,False,False
True,False,120,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Middle Size,40,,,MiddleSize,False,False,True,False,"[OrderedDict([('active', True), ('defaultValue', False), ('label', 'Narrow'), ('validFor', None), ('value', 'Narrow')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Medium'), ('validFor', None), ('value', 'Medium')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Wide'), ('validFor', None), ('value', 'Wide')])]",False,0,False,,[],,,False,True,0,False,xsd:string,True,picklist,False,False,False
