aggregatable,autoNumber,byteLength,calculated,calculatedFormula,cascadeDelete,caseSensitive,compoundFieldName,controllerName,createable,custom,defaultValue,defaultValueFormula,defaultedOnCreate,dependentPicklist,deprecatedAndHidden,digits,displayLocationInDecimal,encrypted,externalId,extraTypeInfo,filterable,filteredLookupInfo,groupable,highScaleNumber,htmlFormatted,idLookup,inlineHelpText,label,length,mask,maskType,name,nameField,namePointing,nillable,permissionable,picklistValues,polymorphicForeignKey,precision,queryByDistance,referenceTargetField,referenceTo,relationshipName,relationshipOrder,restrictedDelete,restrictedPicklist,scale,searchPrefilterable,soapType,sortable,type,unique,updateable,writeRequiresMasterRead
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,True,,Service ID,18,,,Id,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,tns:ID,True,id,False,False,False
False,False,0,False,,False,False,,,True,False,False,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Active,0,,,IsActive,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,True,boolean,False,True,False
True,False,192,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,True,,Email Service Name,64,,,FunctionName,True,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,True,False
True,False,4000,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,plaintextarea,True,,False,False,False,False,,Accept Email From,4000,,,AuthorizedSenders,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,textarea,False,True,False
False,False,0,False,,False,False,,,True,False,False,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Advanced Email Security Settings,0,,,IsAuthenticationRequired,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,True,boolean,False,True,False
False,False,0,False,,False,False,,,True,False,False,,True,False,False,0,False,False,False,,True,,True,False,False,False,,TLS Required,0,,,IsTlsRequired,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,True,boolean,False,True,False
True,False,120,False,,False,False,,,True,False,All,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Accept Attachments,40,,,AttachmentOption,False,False,False,False,"[OrderedDict([('active', True), ('defaultValue', False), ('label', 'None'), ('validFor', None), ('value', 'None')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Text attachments only'), ('validFor', None), ('value', 'TextOnly')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Binary attachments only'), ('validFor', None), ('value', 'BinaryOnly')]), OrderedDict([('active', True), ('defaultValue', True), ('label', 'All'), ('validFor', None), ('value', 'All')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Attachment names only, no content'), ('validFor', None), ('value', 'NoContent')])]",False,0,False,,[],,,False,True,0,False,xsd:string,True,picklist,False,True,False
True,False,18,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Class ID,18,,,ApexClassId,False,False,True,False,[],False,0,False,,['ApexClass'],,,False,False,0,False,tns:ID,True,reference,False,True,False
True,False,120,False,,False,False,,,True,False,UseSystemDefault,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Over Email Rate Limit Action,40,,,OverLimitAction,False,False,True,False,"[OrderedDict([('active', True), ('defaultValue', True), ('label', 'Use System Default'), ('validFor', None), ('value', 'UseSystemDefault')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Bounce message'), ('validFor', None), ('value', 'Bounce')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Discard message'), ('validFor', None), ('value', 'Discard')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Requeue message'), ('validFor', None), ('value', 'Requeue')])]",False,0,False,,[],,,False,True,0,False,xsd:string,True,picklist,False,True,False
True,False,120,False,,False,False,,,True,False,UseSystemDefault,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Deactivated Email Service Action,40,,,FunctionInactiveAction,False,False,True,False,"[OrderedDict([('active', True), ('defaultValue', True), ('label', 'Use System Default'), ('validFor', None), ('value', 'UseSystemDefault')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Bounce message'), ('validFor', None), ('value', 'Bounce')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Discard message'), ('validFor', None), ('value', 'Discard')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Requeue message'), ('validFor', None), ('value', 'Requeue')])]",False,0,False,,[],,,False,True,0,False,xsd:string,True,picklist,False,True,False
