aggregatable,autoNumber,byteLength,calculated,calculatedFormula,cascadeDelete,caseSensitive,compoundFieldName,controllerName,createable,custom,defaultValue,defaultValueFormula,defaultedOnCreate,dependentPicklist,deprecatedAndHidden,digits,displayLocationInDecimal,encrypted,externalId,extraTypeInfo,filterable,filteredLookupInfo,groupable,highScaleNumber,htmlFormatted,idLookup,inlineHelpText,label,length,mask,maskType,name,nameField,namePointing,nillable,permissionable,picklistValues,polymorphicForeignKey,precision,queryByDistance,referenceTargetField,referenceTo,relationshipName,relationshipOrder,restrictedDelete,restrictedPicklist,scale,searchPrefilterable,soapType,sortable,type,unique,updateable,writeRequiresMasterRead
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,True,,Event Log File ID,18,,,Id,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,tns:ID,True,id,False,False,False
False,False,0,False,,False,False,,,False,False,False,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Deleted,0,,,IsDeleted,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,True,boolean,False,False,False
True,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,,Created Date,0,,,CreatedDate,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Created By ID,18,,,CreatedById,False,False,False,False,[],False,0,False,,['User'],CreatedBy,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,,Last Modified Date,0,,,LastModifiedDate,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Last Modified By ID,18,,,LastModifiedById,False,False,False,False,[],False,0,False,,['User'],LastModifiedBy,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,,System Modstamp,0,,,SystemModstamp,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
True,False,765,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Event Type,255,,,EventType,False,False,False,False,"[OrderedDict([('active', True), ('defaultValue', False), ('label', 'API'), ('validFor', None), ('value', 'API')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Apex Callout'), ('validFor', None), ('value', 'ApexCallout')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Apex Execution'), ('validFor', None), ('value', 'ApexExecution')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Apex REST API'), ('validFor', None), ('value', 'ApexRestApi')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Apex SOAP'), ('validFor', None), ('value', 'ApexSoap')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Apex Trigger'), ('validFor', None), ('value', 'ApexTrigger')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Apex Unexpected Exception'), ('validFor', None), ('value', 'ApexUnexpectedException')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Asynchronous Report Run'), ('validFor', None), ('value', 'AsyncReportRun')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Aura Request'), ('validFor', None), ('value', 'AuraRequest')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Concurrent Long Running Apex Limit'), ('validFor', None), ('value', 'ConcurrentLongRunningApexLimit')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Continuation Callout'), ('validFor', None), ('value', 'ContinuationCallout')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'External Cross-Org Callout'), ('validFor', None), ('value', 'ExternalCrossOrgCallout')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'External Custom Apex Callout'), ('validFor', None), ('value', 'ExternalCustomApexCallout')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'External OData Callout'), ('validFor', None), ('value', 'ExternalODataCallout')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Bulk API'), ('validFor', None), ('value', 'BulkApi')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Change Set Operation'), ('validFor', None), ('value', 'ChangeSetOperation')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Console'), ('validFor', None), ('value', 'Console')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Content Distribution'), ('validFor', None), ('value', 'ContentDistribution')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Content Document Link'), ('validFor', None), ('value', 'ContentDocumentLink')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Content Transfer'), ('validFor', None), ('value', 'ContentTransfer')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Dashboard'), ('validFor', None), ('value', 'Dashboard')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Document Attachment Downloads'), ('validFor', None), ('value', 'DocumentAttachmentDownloads')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Insecure External Assets'), ('validFor', None), ('value', 'InsecureExternalAssets')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Knowledge Article View'), ('validFor', None), ('value', 'KnowledgeArticleView')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Lightning Error'), ('validFor', None), ('value', 'LightningError')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Lightning Interaction'), ('validFor', None), ('value', 'LightningInteraction')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Lightning Page View'), ('validFor', None), ('value', 'LightningPageView')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Lightning Performance'), ('validFor', None), ('value', 'LightningPerformance')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Login'), ('validFor', None), ('value', 'Login')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Login As'), ('validFor', None), ('value', 'LoginAs')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Logout'), ('validFor', None), ('value', 'Logout')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Metadata API Operation'), ('validFor', None), ('value', 'MetadataApiOperation')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Multiblock Report'), ('validFor', None), ('value', 'MultiBlockReport')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'One Commerce Usage'), ('validFor', None), ('value', 'OneCommerceUsage')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Package Install'), ('validFor', None), ('value', 'PackageInstall')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Queued Execution'), ('validFor', None), ('value', 'QueuedExecution')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Report'), ('validFor', None), ('value', 'Report')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Report Export'), ('validFor', None), ('value', 'ReportExport')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Rest API'), ('validFor', None), ('value', 'RestApi')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Sandbox'), ('validFor', None), ('value', 'Sandbox')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Search'), ('validFor', None), ('value', 'Search')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Search Click'), ('validFor', None), ('value', 'SearchClick')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Sites'), ('validFor', None), ('value', 'Sites')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Platform Encryption'), ('validFor', None), ('value', 'PlatformEncryption')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Time-Based Workflow'), ('validFor', None), ('value', 'TimeBasedWorkflow')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Transaction Security'), ('validFor', None), ('value', 'TransactionSecurity')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'UI Tracking'), ('validFor', None), ('value', 'UITracking')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'URI'), ('validFor', None), ('value', 'URI')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Visualforce Request'), ('validFor', None), ('value', 'VisualforceRequest')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Wave Change'), ('validFor', None), ('value', 'WaveChange')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Wave Download'), ('validFor', None), ('value', 'WaveDownload')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Wave Interaction'), ('validFor', None), ('value', 'WaveInteraction')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Wave Performance'), ('validFor', None), ('value', 'WavePerformance')])]",False,0,False,,[],,,False,True,0,False,xsd:string,True,picklist,False,False,False
True,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Log Date,0,,,LogDate,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
True,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Log File Length,0,,,LogFileLength,False,False,False,False,[],False,18,False,,[],,,False,False,0,False,xsd:double,True,double,False,False,False
