aggregatable,autoNumber,byteLength,calculated,calculatedFormula,cascadeDelete,caseSensitive,compoundFieldName,controllerName,createable,custom,defaultValue,defaultValueFormula,defaultedOnCreate,dependentPicklist,deprecatedAndHidden,digits,displayLocationInDecimal,encrypted,externalId,extraTypeInfo,filterable,filteredLookupInfo,groupable,highScaleNumber,htmlFormatted,idLookup,inlineHelpText,label,length,mask,maskType,name,nameField,namePointing,nillable,permissionable,picklistValues,polymorphicForeignKey,precision,queryByDistance,referenceTargetField,referenceTo,relationshipName,relationshipOrder,restrictedDelete,restrictedPicklist,scale,searchPrefilterable,soapType,sortable,type,unique,updateable,writeRequiresMasterRead
False,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,True,,Feed Item ID,18,,,Id,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,tns:ID,True,id,False,False,False
False,False,18,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Parent ID,18,,,ParentId,False,True,False,False,[],True,0,False,,"['Account', 'Account_Technical_Feature__c', 'Asset', 'AssetRelationship', 'Associated_Project__c', 'Auth_Contact_Join__c', 'Auth__c', 'Blog__c', 'CIM_Field__c', 'CIM_Table__c', 'Campaign', 'Case', 'Client_Story__c', 'CollaborationGroup', 'Contact', 'ContentDocument', 'Contract', 'DFA__c', 'Dashboard', 'DashboardComponent', 'Decoder_Wheel__c', 'Dictionary__c', 'Endpoint_System_Attribute_Join__c', 'Endpoint__c', 'Engineering_Story__c', 'Environment__c', 'Error__c', 'Event', 'FL_Field_Set_Field_Join__c', 'FL_Field_Set_Table_Join__c', 'FL_Field_Set__c', 'FL_Field__c', 'FL_Semantic_Bundle_Join__c', 'Field__c', 'Flag__c', 'Flow_Procedure_Join__c', 'Flow_URL_Join__c', 'Flow__c', 'G_Field__c', 'G_Instance__c', 'G_Pass__c', 'G_Version__c', 'Goods__c', 'Issue_Related_Technical_Feature__c', 'Issue__c', 'Job_Environment__c', 'Job_Plan_Step__c', 'Job_Plan__c', 'Job_Set_Step__c', 'Job_Set__c', 'Job_Task__c', 'Layer__c', 'Lead', 'Location', 'MFI_Field__c', 'MFI_Table_Procedure_Join__c', 'MFI_Table__c', 'Match_2_Operation__c', 'Opportunity', 'Opportunity_System_Join__c', 'Order', 'Order2__c', 'OrderItem', 'Pass_Mapping__c', 'Pass__c', 'Procedure_Note__c', 'Procedure_URL_Join__c', 'Procedure__c', 'Product2', 'ProfileSkill', 'ProfileSkillEndorsement', 'ProfileSkillUser', 'Project_Code__c', 'Project__c', 'Quote', 'Related_Account_Issue__c', 'Related_Case_Issue__c', 'Related_Solution__c', 'Related_System_Attribute__c', 'Report', 'Semantic_Bundle__c', 'Semantic_Domain__c', 'Site', 'SocialPost', 'Solution', 'Story_Requirement__c', 'System_Attribute__c', 'System__c', 'Task', 'Technical_Feature__c', 'Topic', 'URL__c', 'User', 'Variable__c', 'Vendor_Product_Blog_Join__c', 'VoiceCall', 'WorkBadgeDefinition', 'dlrs__DeclarativeLookupRollupSummaries__c', 'dlrs__LookupChildAReallyReallyReallyBigBigName__c', 'dlrs__LookupChild__c', 'dlrs__LookupParent__c', 'dlrs__LookupRollupCalculateJob__c', 'dlrs__LookupRollupSummaryLog__c', 'dlrs__LookupRollupSummaryScheduleItems__c', 'dlrs__LookupRollupSummary__c', 'mMFI_Class__c', 'mMFI_Family__c', 'mMFI_Field__c', 'x_todel_CIM_Field__c', 'x_todel_CIM_Table__c']",Parent,,False,False,0,False,tns:ID,True,reference,False,False,False
False,False,120,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Feed Item Type,40,,,Type,False,False,True,False,"[OrderedDict([('active', True), ('defaultValue', False), ('label', 'Tracked Change'), ('validFor', None), ('value', 'TrackedChange')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'User Status'), ('validFor', None), ('value', 'UserStatus')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Text Post'), ('validFor', None), ('value', 'TextPost')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Advanced Text Post'), ('validFor', None), ('value', 'AdvancedTextPost')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Link Post'), ('validFor', None), ('value', 'LinkPost')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Content Post'), ('validFor', None), ('value', 'ContentPost')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Poll'), ('validFor', None), ('value', 'PollPost')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'WDC Thanks'), ('validFor', None), ('value', 'RypplePost')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Profile Skill Post'), ('validFor', None), ('value', 'ProfileSkillPost')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Dashboard Component Snapshot'), ('validFor', None), ('value', 'DashboardComponentSnapshot')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Approval Post'), ('validFor', None), ('value', 'ApprovalPost')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Case Comment Feed'), ('validFor', None), ('value', 'CaseCommentPost')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Reply Post'), ('validFor', None), ('value', 'ReplyPost')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Email Message Feed'), ('validFor', None), ('value', 'EmailMessageEvent')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Call Log Feed'), ('validFor', None), ('value', 'CallLogPost')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Change Status Feed'), ('validFor', None), ('value', 'ChangeStatusPost')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Attached Article'), ('validFor', None), ('value', 'AttachArticleEvent')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Milestone Event'), ('validFor', None), ('value', 'MilestoneEvent')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Activity Change'), ('validFor', None), ('value', 'ActivityEvent')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Chat Transcript Post'), ('validFor', None), ('value', 'ChatTranscriptPost')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Collaboration Group Created'), ('validFor', None), ('value', 'CollaborationGroupCreated')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Collaboration Group Reactivated'), ('validFor', None), ('value', 'CollaborationGroupUnarchived')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Social Post'), ('validFor', None), ('value', 'SocialPost')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Question Post'), ('validFor', None), ('value', 'QuestionPost')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Facebook Post'), ('validFor', None), ('value', 'FacebookPost')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Basic Template Post'), ('validFor', None), ('value', 'BasicTemplateFeedItem')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Created Record'), ('validFor', None), ('value', 'CreateRecordEvent')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Canvas'), ('validFor', None), ('value', 'CanvasPost')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'a'), ('validFor', None), ('value', 'AnnouncementPost')])]",False,0,False,,[],,,False,True,0,False,xsd:string,True,picklist,False,False,False
False,False,18,False,,False,False,,,True,False,,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Created By ID,18,,,CreatedById,False,True,False,False,[],True,0,False,,['User'],CreatedBy,,False,False,0,False,tns:ID,True,reference,False,False,False
False,False,0,False,,False,False,,,True,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,,Created Date,0,,,CreatedDate,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
False,False,0,False,,False,False,,,False,False,False,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Deleted,0,,,IsDeleted,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,True,boolean,False,False,False
False,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,,Last Modified Date,0,,,LastModifiedDate,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
False,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,,System Modstamp,0,,,SystemModstamp,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
False,False,0,False,,False,False,,,True,False,,,False,False,False,9,False,False,False,,True,,True,False,False,False,,Revision,0,,,Revision,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:int,True,int,False,False,False
False,False,18,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Last Edit By ID,18,,,LastEditById,False,False,True,False,[],True,0,False,,['User'],,,False,False,0,False,tns:ID,True,reference,False,False,False
