aggregatable,autoNumber,byteLength,calculated,calculatedFormula,cascadeDelete,caseSensitive,compoundFieldName,controllerName,createable,custom,defaultValue,defaultValueFormula,defaultedOnCreate,dependentPicklist,deprecatedAndHidden,digits,displayLocationInDecimal,encrypted,externalId,extraTypeInfo,filterable,filteredLookupInfo,groupable,highScaleNumber,htmlFormatted,idLookup,inlineHelpText,label,length,mask,maskType,name,nameField,namePointing,nillable,permissionable,picklistValues,polymorphicForeignKey,precision,queryByDistance,referenceTargetField,referenceTo,relationshipName,relationshipOrder,restrictedDelete,restrictedPicklist,scale,searchPrefilterable,soapType,sortable,type,unique,updateable,writeRequiresMasterRead
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,True,,Fiscal Year Settings ID,18,,,Id,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,tns:ID,True,id,False,False,False
True,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Period ID,18,,,PeriodId,False,False,True,False,[],False,0,False,,['Period'],,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Start Date,0,,,StartDate,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:date,True,date,False,False,False
True,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,End Date,0,,,EndDate,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:date,True,date,False,False,False
True,False,240,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,True,,Name,80,,,Name,True,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,False,False
False,False,0,False,,False,False,,,False,False,False,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Is Standard Year,0,,,IsStandardYear,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,True,boolean,False,False,False
True,False,120,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Year Type,40,,,YearType,False,False,True,False,"[OrderedDict([('active', True), ('defaultValue', False), ('label', None), ('validFor', None), ('value', 'Standard')]), OrderedDict([('active', True), ('defaultValue', False), ('label', None), ('validFor', None), ('value', 'Custom')]), OrderedDict([('active', True), ('defaultValue', False), ('label', None), ('validFor', None), ('value', 'Placeholder')])]",False,0,False,,[],,,False,True,0,False,xsd:string,True,picklist,False,False,False
True,False,120,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Quarter Name Scheme,40,,,QuarterLabelScheme,False,False,True,False,"[OrderedDict([('active', True), ('defaultValue', False), ('label', 'Numbered By Year'), ('validFor', None), ('value', 'NumberByYear')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Custom Quarter Names'), ('validFor', None), ('value', 'Custom')])]",False,0,False,,[],,,False,True,0,False,xsd:string,True,picklist,False,False,False
True,False,120,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Period Name Scheme,40,,,PeriodLabelScheme,False,False,True,False,"[OrderedDict([('active', True), ('defaultValue', False), ('label', 'Numbered By Year'), ('validFor', None), ('value', 'NumberByYear')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Numbered By Quarter'), ('validFor', None), ('value', 'NumberByQuarter')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Standard Month Names'), ('validFor', None), ('value', 'StandardMonths')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Custom Period Names'), ('validFor', None), ('value', 'Custom')])]",False,0,False,,[],,,False,True,0,False,xsd:string,True,picklist,False,False,False
True,False,120,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Week Name Scheme,40,,,WeekLabelScheme,False,False,True,False,"[OrderedDict([('active', True), ('defaultValue', False), ('label', 'Year'), ('validFor', None), ('value', 'NumberByYear')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Quarter'), ('validFor', None), ('value', 'NumberByQuarter')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Period'), ('validFor', None), ('value', 'NumberByPeriod')])]",False,0,False,,[],,,False,True,0,False,xsd:string,True,picklist,False,False,False
