aggregatable,autoNumber,byteLength,calculated,calculatedFormula,cascadeDelete,caseSensitive,compoundFieldName,controllerName,createable,custom,defaultValue,defaultValueFormula,defaultedOnCreate,dependentPicklist,deprecatedAndHidden,digits,displayLocationInDecimal,encrypted,externalId,extraTypeInfo,filterable,filteredLookupInfo,groupable,highScaleNumber,htmlFormatted,idLookup,inlineHelpText,label,length,mask,maskType,name,nameField,namePointing,nillable,permissionable,picklistValues,polymorphicForeignKey,precision,queryByDistance,referenceTargetField,referenceTo,relationshipName,relationshipOrder,restrictedDelete,restrictedPicklist,scale,searchPrefilterable,soapType,sortable,type,unique,updateable,writeRequiresMasterRead
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,True,,Flow Record Relation ID,18,,,Id,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,tns:ID,True,id,False,False,False
False,False,0,False,,False,False,,,False,False,False,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Deleted,0,,,IsDeleted,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,True,boolean,False,False,False
True,True,765,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,True,,Name,255,,,Name,True,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,False,False
True,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,,Created Date,0,,,CreatedDate,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Created By ID,18,,,CreatedById,False,False,False,False,[],False,0,False,,['User'],CreatedBy,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,,Last Modified Date,0,,,LastModifiedDate,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Last Modified By ID,18,,,LastModifiedById,False,False,False,False,[],False,0,False,,['User'],LastModifiedBy,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,,System Modstamp,0,,,SystemModstamp,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
True,False,18,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Flow Interview ID,18,,,ParentId,False,False,False,False,[],False,0,False,,['FlowInterview'],Parent,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,18,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Record ID,18,,,RelatedRecordId,False,False,False,False,[],True,0,False,,"['Account', 'AccountContactRelation', 'AccountContactRole', 'AccountPartner', 'Account_Technical_Feature__c', 'Announcement', 'ApexTestQueueItem', 'Approval', 'Asset', 'AssetRelationship', 'AssociatedLocation', 'Associated_Project__c', 'AsyncApexJob', 'Attachment', 'Auth_Contact_Join__c', 'Auth__c', 'BackgroundOperation', 'Blog__c', 'CIM_Field__c', 'CIM_Table__c', 'Campaign', 'CampaignMember', 'Case', 'CaseContactRole', 'CaseSolution', 'Client_Story__c', 'CollaborationGroup', 'CollaborationGroupMember', 'CollaborationGroupMemberRequest', 'CollaborationGroupRecord', 'CollaborationInvitation', 'ConferenceNumber', 'Contact', 'ContentDistribution', 'ContentDocument', 'ContentDocumentLink', 'ContentDocumentSubscription', 'ContentFolder', 'ContentFolderLink', 'ContentFolderMember', 'ContentNote', 'ContentNotification', 'ContentVersion', 'ContentVersionComment', 'ContentVersionRating', 'ContentWorkspaceDoc', 'Contract', 'ContractContactRole', 'DFA__c', 'Dashboard', 'DashboardComponent', 'DataAssessmentFieldMetric', 'DataAssessmentMetric', 'DataAssessmentValueMetric', 'Decoder_Wheel__c', 'Dictionary__c', 'Document', 'DuplicateRecordItem', 'DuplicateRecordSet', 'EmailMessage', 'EmailMessageRelation', 'Endpoint_System_Attribute_Join__c', 'Endpoint__c', 'Engineering_Story__c', 'EntitySubscription', 'Environment__c', 'Error__c', 'Event', 'EventRelation', 'ExternalEvent', 'ExternalEventMapping', 'FL_Field_Set_Field_Join__c', 'FL_Field_Set_Table_Join__c', 'FL_Field_Set__c', 'FL_Field__c', 'FL_Semantic_Bundle_Join__c', 'FeedAttachment', 'FeedComment', 'FeedItem', 'FeedPollChoice', 'FeedPollVote', 'FeedRevision', 'Field__c', 'FileSearchActivity', 'Flag__c', 'FlowStageRelation', 'Flow_Procedure_Join__c', 'Flow_URL_Join__c', 'Flow__c', 'ForecastingAdjustment', 'ForecastingFact', 'ForecastingItem', 'ForecastingOwnerAdjustment', 'ForecastingQuota', 'G_Field__c', 'G_Instance__c', 'G_Pass__c', 'G_Version__c', 'Goods__c', 'Idea', 'Individual', 'InstalledMobileApp', 'Issue_Related_Technical_Feature__c', 'Issue__c', 'Job_Environment__c', 'Job_Plan_Step__c', 'Job_Plan__c', 'Job_Set_Step__c', 'Job_Set__c', 'Job_Task__c', 'Layer__c', 'Lead', 'ListEmail', 'ListEmailRecipientSource', 'Location', 'MFI_Field__c', 'MFI_Table_Procedure_Join__c', 'MFI_Table__c', 'Macro', 'MacroInstruction', 'Match_2_Operation__c', 'MatchingInformation', 'NetworkActivityAudit', 'NetworkSelfRegistration', 'NetworkUserHistoryRecent', 'Note', 'Opportunity', 'OpportunityContactRole', 'OpportunityLineItem', 'OpportunityPartner', 'Opportunity_System_Join__c', 'Order', 'Order2__c', 'OrderItem', 'Partner', 'Pass_Mapping__c', 'Pass__c', 'Pricebook2', 'PricebookEntry', 'Procedure_Note__c', 'Procedure_URL_Join__c', 'Procedure__c', 'ProcessInstance', 'ProcessInstanceNode', 'Product2', 'ProfileSkill', 'ProfileSkillEndorsement', 'ProfileSkillUser', 'Project_Code__c', 'Project__c', 'PushTopic', 'QuickText', 'Quote', 'QuoteDocument', 'QuoteLineItem', 'RecordAction', 'Related_Account_Issue__c', 'Related_Case_Issue__c', 'Related_Solution__c', 'Related_System_Attribute__c', 'Report', 'Semantic_Bundle__c', 'Semantic_Domain__c', 'SocialPersona', 'SocialPost', 'Solution', 'Story_Requirement__c', 'StreamingChannel', 'System_Attribute__c', 'System__c', 'Task', 'TaskRelation', 'Technical_Feature__c', 'TodayGoal', 'Topic', 'TopicAssignment', 'URL__c', 'UserAppInfo', 'UserAppMenuCustomization', 'UserProvAccount', 'UserProvAccountStaging', 'UserProvMockTarget', 'UserProvisioningLog', 'UserProvisioningRequest', 'Variable__c', 'Vendor_Product_Blog_Join__c', 'VoiceCall', 'WaveCompatibilityCheckItem', 'WorkAccess', 'WorkBadge', 'WorkBadgeDefinition', 'WorkThanks', 'dlrs__DeclarativeLookupRollupSummaries__c', 'dlrs__LookupChildAReallyReallyReallyBigBigName__c', 'dlrs__LookupChild__c', 'dlrs__LookupParent__c', 'dlrs__LookupRollupCalculateJob__c', 'dlrs__LookupRollupSummaryLog__c', 'dlrs__LookupRollupSummaryScheduleItems__c', 'dlrs__LookupRollupSummary__c', 'mMFI_Class__c', 'mMFI_Family__c', 'mMFI_Field__c', 'x_todel_CIM_Field__c', 'x_todel_CIM_Table__c']",RelatedRecord,,False,False,0,False,tns:ID,True,reference,False,True,False
