aggregatable,autoNumber,byteLength,calculated,calculatedFormula,cascadeDelete,caseSensitive,compoundFieldName,controllerName,createable,custom,defaultValue,defaultValueFormula,defaultedOnCreate,dependentPicklist,deprecatedAndHidden,digits,displayLocationInDecimal,encrypted,externalId,extraTypeInfo,filterable,filteredLookupInfo,groupable,highScaleNumber,htmlFormatted,idLookup,inlineHelpText,label,length,mask,maskType,name,nameField,namePointing,nillable,permissionable,picklistValues,polymorphicForeignKey,precision,queryByDistance,referenceTargetField,referenceTo,relationshipName,relationshipOrder,restrictedDelete,restrictedPicklist,scale,searchPrefilterable,soapType,sortable,type,unique,updateable,writeRequiresMasterRead
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,True,,ForecastingAdjustment ID,18,,,Id,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,tns:ID,True,id,False,False,False
True,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Forecasting Item ID,18,,,ForecastingItemId,False,False,False,False,[],False,0,False,,['ForecastingItem'],,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Period ID,18,,,PeriodId,False,False,True,False,[],False,0,False,,['Period'],,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,0,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Period Start Date,0,,,StartDate,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:date,True,date,False,False,False
True,False,120,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Product Family,40,,,ProductFamily,False,False,True,False,"[OrderedDict([('active', True), ('defaultValue', False), ('label', 'None'), ('validFor', None), ('value', 'None')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Strategy'), ('validFor', None), ('value', 'Strategy')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Model'), ('validFor', None), ('value', 'Model')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Tactical - Inter-System'), ('validFor', None), ('value', 'Tactical - Inter-System')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Tactical - Intra-System'), ('validFor', None), ('value', 'Tactical - Intra-System')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'OGS'), ('validFor', None), ('value', 'OGS')])]",False,0,False,,[],,,False,False,0,False,xsd:string,True,picklist,False,False,False
True,False,120,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Forecasting Item Category,40,,,ForecastingItemCategory,False,False,False,False,"[OrderedDict([('active', True), ('defaultValue', False), ('label', 'OmittedOnly'), ('validFor', None), ('value', 'OmittedOnly')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'PipelineOnly'), ('validFor', None), ('value', 'PipelineOnly')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'BestCaseOnly'), ('validFor', None), ('value', 'BestCaseOnly')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'CommitOnly'), ('validFor', None), ('value', 'CommitOnly')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'ClosedOnly'), ('validFor', None), ('value', 'ClosedOnly')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'OpenPipeline'), ('validFor', None), ('value', 'OpenPipeline')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'BestCaseForecast'), ('validFor', None), ('value', 'BestCaseForecast')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'CommitForecast'), ('validFor', None), ('value', 'CommitForecast')])]",False,0,False,,[],,,False,False,0,False,xsd:string,True,picklist,False,False,False
True,False,120,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Forecast Category,40,,,ForecastCategoryName,False,False,True,False,"[OrderedDict([('active', True), ('defaultValue', False), ('label', 'Omitted'), ('validFor', None), ('value', 'Omitted')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Pipeline'), ('validFor', None), ('value', 'Pipeline')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Best Case'), ('validFor', None), ('value', 'Best Case')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Commit'), ('validFor', None), ('value', 'Commit')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Closed'), ('validFor', None), ('value', 'Closed')])]",False,0,False,,[],,,False,True,0,False,xsd:string,True,picklist,False,False,False
True,False,0,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Adjusted Amount,0,,,AdjustedAmount,False,False,False,False,[],False,18,False,,[],,,False,False,0,False,xsd:double,True,currency,False,True,False
True,False,0,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Adjusted Quantity,0,,,AdjustedQuantity,False,False,False,False,[],False,12,False,,[],,,False,False,2,False,xsd:double,True,double,False,True,False
True,False,18,False,,False,False,,,True,False,,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Owner ID,18,,,OwnerId,False,False,False,False,[],False,0,False,,['User'],Owner,,False,False,0,False,tns:ID,True,reference,False,False,False
False,False,0,False,,False,False,,,False,False,False,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Is Quantity,0,,,IsQuantity,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,True,boolean,False,False,False
False,False,0,False,,False,False,,,False,False,False,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Is Amount,0,,,IsAmount,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,True,boolean,False,False,False
True,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,,Created Date,0,,,CreatedDate,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Created By ID,18,,,CreatedById,False,False,False,False,[],False,0,False,,['User'],CreatedBy,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,,Last Modified Date,0,,,LastModifiedDate,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Last Modified By ID,18,,,LastModifiedById,False,False,False,False,[],False,0,False,,['User'],LastModifiedBy,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,,System Modstamp,0,,,SystemModstamp,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
True,False,18,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Forecasting Type ID,18,,,ForecastingTypeId,False,False,False,False,[],False,0,False,,['ForecastingType'],ForecastingType,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,420,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,plaintextarea,True,,True,False,False,False,,Adjustment Note,140,,,AdjustmentNote,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,textarea,False,True,False
