aggregatable,autoNumber,byteLength,calculated,calculatedFormula,cascadeDelete,caseSensitive,compoundFieldName,controllerName,createable,custom,defaultValue,defaultValueFormula,defaultedOnCreate,dependentPicklist,deprecatedAndHidden,digits,displayLocationInDecimal,encrypted,externalId,extraTypeInfo,filterable,filteredLookupInfo,groupable,highScaleNumber,htmlFormatted,idLookup,inlineHelpText,label,length,mask,maskType,name,nameField,namePointing,nillable,permissionable,picklistValues,polymorphicForeignKey,precision,queryByDistance,referenceTargetField,referenceTo,relationshipName,relationshipOrder,restrictedDelete,restrictedPicklist,scale,searchPrefilterable,soapType,sortable,type,unique,updateable,writeRequiresMasterRead
False,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,True,,Forecasting User Preference ID,18,,,Id,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,tns:ID,True,id,False,False,False
False,False,765,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,External ID,255,,,ExternalId,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,True,False
False,False,0,False,,False,False,,,True,False,,,False,False,False,9,False,False,False,,False,,True,False,False,False,,Period Start,0,,,ForecastingStartPeriod,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:int,True,int,False,True,False
False,False,0,False,,False,False,,,True,False,,,False,False,False,9,False,False,False,,False,,True,False,False,False,,Period Duration,0,,,ForecastingPeriodDuration,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:int,True,int,False,True,False
False,False,765,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,False,,True,False,False,False,,Period Type,255,,,ForecastingPeriodType,False,False,True,False,"[OrderedDict([('active', True), ('defaultValue', False), ('label', None), ('validFor', None), ('value', 'Month')]), OrderedDict([('active', True), ('defaultValue', False), ('label', None), ('validFor', None), ('value', 'Quarter')]), OrderedDict([('active', True), ('defaultValue', False), ('label', None), ('validFor', None), ('value', 'Week')]), OrderedDict([('active', True), ('defaultValue', False), ('label', None), ('validFor', None), ('value', 'Year')])]",False,0,False,,[],,,False,True,0,False,xsd:string,True,picklist,False,True,False
False,False,18,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,False,,True,False,False,False,,Forecasting Type ID,18,,,ForecastingDisplayedTypeId,False,False,False,False,[],False,0,False,,['ForecastingType'],ForecastingDisplayedType,,False,False,0,False,tns:ID,True,reference,False,True,False
False,False,120,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,False,,True,False,False,False,,Viewing Currency,40,,,ForecastingViewCurrency,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,True,False
False,False,0,False,,False,False,,,True,False,False,,True,False,False,0,False,False,False,,False,,True,False,False,False,,Hide Guided Tour,0,,,IsHideForecastingGuidedTour,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,True,boolean,False,True,False
False,False,0,False,,False,False,,,True,False,False,,True,False,False,0,False,False,False,,False,,True,False,False,False,,Show Quota Attainment,0,,,IsShowForecastingQuotaAttainment,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,True,boolean,False,True,False
False,False,0,False,,False,False,,,True,False,False,,True,False,False,0,False,False,False,,False,,True,False,False,False,,Hide Quota Column,0,,,IsHideForecastingQuotaColumn,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,True,boolean,False,True,False
False,False,0,False,,False,False,,,True,False,False,,True,False,False,0,False,False,False,,False,,True,False,False,False,,Show Quantity,0,,,IsForecastingShowQuantity,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,True,boolean,False,True,False
False,False,0,False,,False,False,,,True,False,False,,True,False,False,0,False,False,False,,False,,True,False,False,False,,Hide Zero Rows,0,,,IsForecastingHideZeroRows,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,True,boolean,False,True,False
