aggregatable,autoNumber,byteLength,calculated,calculatedFormula,cascadeDelete,caseSensitive,compoundFieldName,controllerName,createable,custom,defaultValue,defaultValueFormula,defaultedOnCreate,dependentPicklist,deprecatedAndHidden,digits,displayLocationInDecimal,encrypted,externalId,extraTypeInfo,filterable,filteredLookupInfo,groupable,highScaleNumber,htmlFormatted,idLookup,inlineHelpText,label,length,mask,maskType,name,nameField,namePointing,nillable,permissionable,picklistValues,polymorphicForeignKey,precision,queryByDistance,referenceTargetField,referenceTo,relationshipName,relationshipOrder,restrictedDelete,restrictedPicklist,scale,searchPrefilterable,soapType,sortable,type,unique,updateable,writeRequiresMasterRead
False,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,False,,False,False,False,True,,Change Event ID,18,,,Id,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,tns:ID,False,id,False,False,False
False,False,3000,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,Replay ID,1000,,,ReplayId,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,False,string,False,False,False
False,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,Change Event Header,0,,,ChangeEventHeader,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,ChangeEventHeader,False,complexvalue,False,False,False
False,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,Owner ID,18,,,OwnerId,False,False,True,False,[],True,0,False,,"['Group', 'User']",,,False,False,0,False,tns:ID,False,reference,False,False,False
False,False,240,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,<Entity>,80,,,Name,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,False,string,False,False,False
False,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,False,,False,False,False,False,,Created Date,0,,,CreatedDate,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,False,datetime,False,False,False
False,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,Created By ID,18,,,CreatedById,False,False,True,False,[],False,0,False,,['User'],,,False,False,0,False,tns:ID,False,reference,False,False,False
False,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,Last Modified Date,0,,,LastModifiedDate,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,False,datetime,False,False,False
False,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,Last Modified By ID,18,,,LastModifiedById,False,False,True,False,[],False,0,False,,['User'],,,False,False,0,False,tns:ID,False,reference,False,False,False
False,False,765,False,,False,False,,,False,True,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,Analyst,255,,,Analyst__c,False,False,True,True,"[OrderedDict([('active', True), ('defaultValue', False), ('label', 'Gerald'), ('validFor', None), ('value', 'Gerald')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Jason'), ('validFor', None), ('value', 'Jason')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Joe'), ('validFor', None), ('value', 'Joe')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Kirk'), ('validFor', None), ('value', 'Kirk')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Manuel'), ('validFor', None), ('value', 'Manuel')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Mark'), ('validFor', None), ('value', 'Mark')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Meghan'), ('validFor', None), ('value', 'Meghan')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Pam'), ('validFor', None), ('value', 'Pam')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Ron'), ('validFor', None), ('value', 'Ron')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Seth'), ('validFor', None), ('value', 'Seth')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Stephen'), ('validFor', None), ('value', 'Stephen')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Steve'), ('validFor', None), ('value', 'Steve')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Thomas'), ('validFor', None), ('value', 'Thomas')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Tod'), ('validFor', None), ('value', 'Tod')])]",False,0,False,,[],,,False,True,0,False,xsd:string,False,picklist,False,False,False
