aggregatable,autoNumber,byteLength,calculated,calculatedFormula,cascadeDelete,caseSensitive,compoundFieldName,controllerName,createable,custom,defaultValue,defaultValueFormula,defaultedOnCreate,dependentPicklist,deprecatedAndHidden,digits,displayLocationInDecimal,encrypted,externalId,extraTypeInfo,filterable,filteredLookupInfo,groupable,highScaleNumber,htmlFormatted,idLookup,inlineHelpText,label,length,mask,maskType,name,nameField,namePointing,nillable,permissionable,picklistValues,polymorphicForeignKey,precision,queryByDistance,referenceTargetField,referenceTo,relationshipName,relationshipOrder,restrictedDelete,restrictedPicklist,scale,searchPrefilterable,soapType,sortable,type,unique,updateable,writeRequiresMasterRead
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,True,,Event Log Entry ID,18,,,Id,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,tns:ID,True,id,False,False,False
True,False,120,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Usage Type,40,,,InitiatedBy,False,False,False,False,"[OrderedDict([('active', True), ('defaultValue', False), ('label', 'IdP-Initiated SAML'), ('validFor', None), ('value', 'IdP')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'SP-Initiated SAML'), ('validFor', None), ('value', 'SP')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'OAuth Authorization'), ('validFor', None), ('value', 'OauthAuthorize')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'OAuth Token Exchange'), ('validFor', None), ('value', 'OauthTokenExchange')]), OrderedDict([('active', True), ('defaultValue', False), ('label', None), ('validFor', None), ('value', 'Unused')])]",False,0,False,,[],,,False,True,0,False,xsd:string,True,picklist,False,False,False
True,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Timestamp,0,,,Timestamp,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
True,False,120,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Status,40,,,ErrorCode,False,False,False,False,"[OrderedDict([('active', True), ('defaultValue', False), ('label', 'Success'), ('validFor', None), ('value', 'Success')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Error: Org has not configured My Domains yet'), ('validFor', None), ('value', 'NoSubdomain')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Error: Invalid Identity Provider Endpoint URL'), ('validFor', None), ('value', 'InvalidIdpEndpoint')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Error: Unable to parse AuthnRequest from service provider'), ('validFor', None), ('value', 'InvalidAuthnRequest')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Error: Misconfigured or invalid service provider'), ('validFor', None), ('value', 'InvalidSp')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Error: User does not have a Federation Identifier selected'), ('validFor', None), ('value', 'NoUserFedId')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Error: User does not have access to this service provider'), ('validFor', None), ('value', 'NoAccess')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Error: IdP certificate is invalid or does not exist'), ('validFor', None), ('value', 'InvalidSettings')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Error: No Spoke ID found'), ('validFor', None), ('value', 'NoSpokeId')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Error: Invalid spoke SP settings'), ('validFor', None), ('value', 'InvalidSpokeSp')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Error: User does not have a value for the subject custom attribute'), ('validFor', None), ('value', 'NoCustomAttrValue')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Error: Custom field not found'), ('validFor', None), ('value', 'NoCustomField')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Error: Invalid Issuer'), ('validFor', None), ('value', 'InvalidIssuer')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Error: Invalid Signature'), ('validFor', None), ('value', 'InvalidSignature')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Error: Unable to resolve request into a Service Provider'), ('validFor', None), ('value', 'UnableToResolve')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Error: Invalid session level'), ('validFor', None), ('value', 'InvalidSessionLevel')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Error: Internal Error'), ('validFor', None), ('value', 'InternalError')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'OAuth Error'), ('validFor', None), ('value', 'OauthError')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Error: App access denied'), ('validFor', None), ('value', 'AppAccessDenied')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Error: App blocked'), ('validFor', None), ('value', 'AppBlocked')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Error: Invalid grant'), ('validFor', None), ('value', 'ClientUnapproved')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Error: Expired authorization code'), ('validFor', None), ('value', 'CodeExpired')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Error: Invalid client credentials'), ('validFor', None), ('value', 'InvalidClientCredentials')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Error: Invalid authorization code'), ('validFor', None), ('value', 'InvalidCode')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Error: Invalid scope(s)'), ('validFor', None), ('value', 'InvalidScope')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Error: Invalid user credentials'), ('validFor', None), ('value', 'InvalidUserCredentials')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Error: Invalid device ID'), ('validFor', None), ('value', 'InvalidDeviceId')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Unknown Error'), ('validFor', None), ('value', 'UnknownError')])]",False,0,False,,[],,,False,True,0,False,xsd:string,True,picklist,False,False,False
True,False,1500,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Entity ID,1500,,,SamlEntityUrl,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,False,False
True,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,User ID,18,,,UserId,False,False,True,False,[],False,0,False,,['User'],,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Auth Session ID,18,,,AuthSessionId,False,False,True,False,[],False,0,False,,['AuthSession'],,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,120,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,SSO Type,40,,,SsoType,False,False,True,False,"[OrderedDict([('active', True), ('defaultValue', False), ('label', None), ('validFor', None), ('value', 'Saml')]), OrderedDict([('active', True), ('defaultValue', False), ('label', None), ('validFor', None), ('value', 'Oidc')])]",False,0,False,,[],,,False,True,0,False,xsd:string,True,picklist,False,False,False
True,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Connected App ID,18,,,AppId,False,False,True,False,[],False,0,False,,['ConnectedApplication'],,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,2295,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Identity Used,765,,,IdentityUsed,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,False,False
