aggregatable,autoNumber,byteLength,calculated,calculatedFormula,cascadeDelete,caseSensitive,compoundFieldName,controllerName,createable,custom,defaultValue,defaultValueFormula,defaultedOnCreate,dependentPicklist,deprecatedAndHidden,digits,displayLocationInDecimal,encrypted,externalId,extraTypeInfo,filterable,filteredLookupInfo,groupable,highScaleNumber,htmlFormatted,idLookup,inlineHelpText,label,length,mask,maskType,name,nameField,namePointing,nillable,permissionable,picklistValues,polymorphicForeignKey,precision,queryByDistance,referenceTargetField,referenceTo,relationshipName,relationshipOrder,restrictedDelete,restrictedPicklist,scale,searchPrefilterable,soapType,sortable,type,unique,updateable,writeRequiresMasterRead
False,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,True,,List View Chart Instance ID,18,,,Id,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,tns:ID,True,id,False,False,False
False,False,765,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,ListView Chart Instance ID,255,,,ExternalId,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,False,False
False,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,List View Chart ID,18,,,ListViewChartId,False,False,False,False,[],False,0,False,,['ListViewChart'],ListViewChart,,False,False,0,False,tns:ID,True,reference,False,False,False
False,False,765,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Label,255,,,Label,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,False,False
False,False,240,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,API Name,80,,,DeveloperName,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,False,False
False,False,765,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Entity,255,,,SourceEntity,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,False,False
False,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,List View ID,18,,,ListViewContextId,False,False,False,False,[],False,0,False,,['ListView'],ListViewContext,,False,False,0,False,tns:ID,True,reference,False,False,False
False,False,765,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,"TODO, use alias",255,,,ChartType,False,False,False,False,"[OrderedDict([('active', True), ('defaultValue', False), ('label', 'Vertical Bar Chart'), ('validFor', None), ('value', 'vbar')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Horizontal Bar Chart'), ('validFor', None), ('value', 'hbar')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Donut Chart'), ('validFor', None), ('value', 'pie')])]",False,0,False,,[],,,False,True,0,False,xsd:string,True,picklist,False,False,False
False,False,0,False,,False,False,,,False,False,False,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Last Viewed,0,,,IsLastViewed,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,True,boolean,False,False,False
False,False,3999,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,plaintextarea,True,,False,False,False,False,,SOQL Query for Chart Data,1333,,,DataQuery,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,textarea,False,False,False
False,False,0,False,,False,False,,,False,False,False,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Editable,0,,,IsEditable,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,True,boolean,False,False,False
False,False,0,False,,False,False,,,False,False,False,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Deletable,0,,,IsDeletable,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,True,boolean,False,False,False
False,False,765,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Grouping Field,255,,,GroupingField,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,False,False
False,False,765,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Aggregate Field,255,,,AggregateField,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,False,False
False,False,765,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Aggregate Type,255,,,AggregateType,False,False,False,False,"[OrderedDict([('active', True), ('defaultValue', False), ('label', 'Sum'), ('validFor', None), ('value', 'Sum')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Count'), ('validFor', None), ('value', 'Count')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Average'), ('validFor', None), ('value', 'Avg')])]",False,0,False,,[],,,False,True,0,False,xsd:string,True,picklist,False,False,False
