aggregatable,autoNumber,byteLength,calculated,calculatedFormula,cascadeDelete,caseSensitive,compoundFieldName,controllerName,createable,custom,defaultValue,defaultValueFormula,defaultedOnCreate,dependentPicklist,deprecatedAndHidden,digits,displayLocationInDecimal,encrypted,externalId,extraTypeInfo,filterable,filteredLookupInfo,groupable,highScaleNumber,htmlFormatted,idLookup,inlineHelpText,label,length,mask,maskType,name,nameField,namePointing,nillable,permissionable,picklistValues,polymorphicForeignKey,precision,queryByDistance,referenceTargetField,referenceTo,relationshipName,relationshipOrder,restrictedDelete,restrictedPicklist,scale,searchPrefilterable,soapType,sortable,type,unique,updateable,writeRequiresMasterRead
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,True,,Login History Id,18,,,Id,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,tns:ID,True,id,False,False,False
True,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,User ID,18,,,UserId,False,False,True,False,[],True,0,False,,['User'],,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Login Time,0,,,LoginTime,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
True,False,120,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Login Type,40,,,LoginType,False,False,False,False,[],False,0,False,,[],,,False,True,0,False,xsd:string,True,picklist,False,False,False
True,False,39,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Source IP,39,,,SourceIp,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,False,False
True,False,765,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Login URL,255,,,LoginUrl,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,False,False
True,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Network ID,18,,,NetworkId,False,False,True,False,[],False,0,False,,['Network'],,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Authentication Service ID,18,,,AuthenticationServiceId,False,False,True,False,[],True,0,False,,"['AuthProvider', 'SamlSsoConfig']",,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Login Geo Data ID,18,,,LoginGeoId,False,False,True,False,[],False,0,False,,['LoginGeo'],LoginGeo,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,120,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,TLS Protocol,40,,,TlsProtocol,False,False,True,False,"[OrderedDict([('active', True), ('defaultValue', False), ('label', 'TLS 1.0'), ('validFor', None), ('value', 'TLS 1.0')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'TLS 1.1'), ('validFor', None), ('value', 'TLS 1.1')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'TLS 1.2'), ('validFor', None), ('value', 'TLS 1.2')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'TLS 1.3'), ('validFor', None), ('value', 'TLS 1.3')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Unknown'), ('validFor', None), ('value', 'Unknown')])]",False,0,False,,[],,,False,True,0,False,xsd:string,True,picklist,False,False,False
