aggregatable,autoNumber,byteLength,calculated,calculatedFormula,cascadeDelete,caseSensitive,compoundFieldName,controllerName,createable,custom,defaultValue,defaultValueFormula,defaultedOnCreate,dependentPicklist,deprecatedAndHidden,digits,displayLocationInDecimal,encrypted,externalId,extraTypeInfo,filterable,filteredLookupInfo,groupable,highScaleNumber,htmlFormatted,idLookup,inlineHelpText,label,length,mask,maskType,name,nameField,namePointing,nillable,permissionable,picklistValues,polymorphicForeignKey,precision,queryByDistance,referenceTargetField,referenceTo,relationshipName,relationshipOrder,restrictedDelete,restrictedPicklist,scale,searchPrefilterable,soapType,sortable,type,unique,updateable,writeRequiresMasterRead
False,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,True,,Outgoing Email ID,18,,,Id,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,tns:ID,True,id,False,False,False
False,False,765,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,External ID,255,,,ExternalId,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,False,False
False,False,765,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,False,,True,False,False,False,,From,255,,,ValidatedFromAddress,False,False,True,False,"[OrderedDict([('active', True), ('defaultValue', False), ('label', 'dbapi1 (org-x) <org-x@xrmdata.com>'), ('validFor', None), ('value', 'org-x@xrmdata.com')])]",False,0,False,,[],,,False,True,0,False,xsd:string,False,picklist,False,False,False
False,False,4000,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,To,4000,,,ToAddress,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,False,string,False,False,False
False,False,4000,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,CC,4000,,,CcAddress,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,False,string,False,False,False
False,False,4000,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,BCC,4000,,,BccAddress,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,False,string,False,False,False
False,False,3000,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,Subject,3000,,,Subject,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,False,string,False,False,False
False,False,384000,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,plaintextarea,False,,False,False,False,False,,Text Body,128000,,,TextBody,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,False,textarea,False,False,False
False,False,384000,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,plaintextarea,False,,False,False,False,False,,HTML Body,128000,,,HtmlBody,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,False,textarea,False,False,False
False,False,18,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,False,,True,False,False,False,,Related To ID,18,,,RelatedToId,False,True,True,False,[],True,0,False,,"['Account', 'Asset', 'AssetRelationship', 'Blog__c', 'Campaign', 'Client_Story__c', 'Contract', 'Decoder_Wheel__c', 'Dictionary__c', 'Endpoint__c', 'Engineering_Story__c', 'Error__c', 'FL_Field_Set__c', 'Field__c', 'Flag__c', 'Goods__c', 'Issue__c', 'Job_Environment__c', 'Job_Plan_Step__c', 'Job_Plan__c', 'Job_Set_Step__c', 'Job_Set__c', 'Job_Task__c', 'Layer__c', 'Location', 'Match_2_Operation__c', 'Opportunity', 'Order', 'Order2__c', 'Pass__c', 'Product2', 'Project__c', 'Quote', 'Related_Account_Issue__c', 'Related_Case_Issue__c', 'Related_Solution__c', 'Solution', 'Story_Requirement__c', 'System__c', 'Variable__c', 'mMFI_Class__c', 'mMFI_Family__c', 'mMFI_Field__c']",RelatedTo,,False,False,0,False,tns:ID,False,reference,False,False,False
False,False,18,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,False,,True,False,False,False,,Name ID,18,,,WhoId,False,True,True,False,[],True,0,False,,"['Contact', 'Lead']",Who,,False,False,0,False,tns:ID,False,reference,False,False,False
False,False,18,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,False,,True,False,False,False,,Email Template ID,18,,,EmailTemplateId,False,False,True,False,[],True,0,False,,['EmailTemplate'],EmailTemplate,,False,False,0,False,tns:ID,False,reference,False,False,False
