aggregatable,autoNumber,byteLength,calculated,calculatedFormula,cascadeDelete,caseSensitive,compoundFieldName,controllerName,createable,custom,defaultValue,defaultValueFormula,defaultedOnCreate,dependentPicklist,deprecatedAndHidden,digits,displayLocationInDecimal,encrypted,externalId,extraTypeInfo,filterable,filteredLookupInfo,groupable,highScaleNumber,htmlFormatted,idLookup,inlineHelpText,label,length,mask,maskType,name,nameField,namePointing,nillable,permissionable,picklistValues,polymorphicForeignKey,precision,queryByDistance,referenceTargetField,referenceTo,relationshipName,relationshipOrder,restrictedDelete,restrictedPicklist,scale,searchPrefilterable,soapType,sortable,type,unique,updateable,writeRequiresMasterRead
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,True,,Period ID,18,,,Id,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,tns:ID,True,id,False,False,False
True,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Fiscal Year Settings ID,18,,,FiscalYearSettingsId,False,False,True,False,[],False,0,False,,['FiscalYearSettings'],FiscalYearSettings,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,120,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Type,40,,,Type,False,False,True,False,"[OrderedDict([('active', True), ('defaultValue', False), ('label', None), ('validFor', None), ('value', 'Month')]), OrderedDict([('active', True), ('defaultValue', False), ('label', None), ('validFor', None), ('value', 'Quarter')]), OrderedDict([('active', True), ('defaultValue', False), ('label', None), ('validFor', None), ('value', 'Week')]), OrderedDict([('active', True), ('defaultValue', False), ('label', None), ('validFor', None), ('value', 'Year')])]",False,0,False,,[],,,False,True,0,False,xsd:string,True,picklist,False,False,False
True,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Start Date,0,,,StartDate,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:date,True,date,False,False,False
True,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,End Date,0,,,EndDate,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:date,True,date,False,False,False
True,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,,System Modstamp,0,,,SystemModstamp,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
False,False,0,False,,False,False,,,False,False,False,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Is Forecast Period,0,,,IsForecastPeriod,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,True,boolean,False,False,False
True,False,120,False,,False,False,,,False,False,Spring,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Quarter Name,40,,,QuarterLabel,False,False,True,False,"[OrderedDict([('active', True), ('defaultValue', True), ('label', 'Spring'), ('validFor', None), ('value', 'Spring')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Summer'), ('validFor', None), ('value', 'Summer')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Fall'), ('validFor', None), ('value', 'Fall')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Winter'), ('validFor', None), ('value', 'Winter')])]",False,0,False,,[],,,False,False,0,False,xsd:string,True,picklist,False,False,False
True,False,120,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Period Name,40,,,PeriodLabel,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,picklist,False,False,False
True,False,0,False,,False,False,,,False,False,,,False,False,False,9,False,False,False,,True,,True,False,False,False,,Number,0,,,Number,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:int,True,int,False,False,False
True,False,240,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,False,,True,False,False,False,,Fully Qualified Label,80,,,FullyQualifiedLabel,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,False,string,False,False,False
