aggregatable,autoNumber,byteLength,calculated,calculatedFormula,cascadeDelete,caseSensitive,compoundFieldName,controllerName,createable,custom,defaultValue,defaultValueFormula,defaultedOnCreate,dependentPicklist,deprecatedAndHidden,digits,displayLocationInDecimal,encrypted,externalId,extraTypeInfo,filterable,filteredLookupInfo,groupable,highScaleNumber,htmlFormatted,idLookup,inlineHelpText,label,length,mask,maskType,name,nameField,namePointing,nillable,permissionable,picklistValues,polymorphicForeignKey,precision,queryByDistance,referenceTargetField,referenceTo,relationshipName,relationshipOrder,restrictedDelete,restrictedPicklist,scale,searchPrefilterable,soapType,sortable,type,unique,updateable,writeRequiresMasterRead
False,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,True,,Not used ID,18,,,Id,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,tns:ID,True,id,False,False,False
False,False,765,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Platform Action ID,255,,,ExternalId,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,False,False
False,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Last Modified Date,0,,,LastModifiedDate,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
False,False,765,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Label,255,,,Label,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,False,False
False,False,765,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Type,255,,,Type,False,False,False,False,"[OrderedDict([('active', True), ('defaultValue', False), ('label', 'Quick Action'), ('validFor', None), ('value', 'QuickAction')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Standard Button'), ('validFor', None), ('value', 'StandardButton')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Custom Button'), ('validFor', None), ('value', 'CustomButton')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Productivity (Highlight) Action'), ('validFor', None), ('value', 'ProductivityAction')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'ActionLink'), ('validFor', None), ('value', 'ActionLink')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Invocable Action'), ('validFor', None), ('value', 'InvocableAction')])]",False,0,False,,[],,,False,True,0,False,xsd:string,True,picklist,False,False,False
False,False,765,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Subtype,255,,,Subtype,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,False,False
False,False,765,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,API Name,255,,,ApiName,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,False,False
False,False,6144,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,plaintextarea,False,,False,False,False,False,,Action Target,2048,,,ActionTarget,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,False,textarea,False,False,False
False,False,765,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Action Target Type,255,,,ActionTargetType,False,False,True,False,"[OrderedDict([('active', True), ('defaultValue', False), ('label', 'Target is for describing the action'), ('validFor', None), ('value', 'Describe')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Target is for invoking the action'), ('validFor', None), ('value', 'Invoke')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Target is for a visualforce page'), ('validFor', None), ('value', 'Visualforce')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Target is for a lightning component'), ('validFor', None), ('value', 'LightningComponent')])]",False,0,False,,[],,,False,True,0,False,xsd:string,True,picklist,False,False,False
False,False,765,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Confirmation Message,255,,,ConfirmationMessage,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,False,False
