aggregatable,autoNumber,byteLength,calculated,calculatedFormula,cascadeDelete,caseSensitive,compoundFieldName,controllerName,createable,custom,defaultValue,defaultValueFormula,defaultedOnCreate,dependentPicklist,deprecatedAndHidden,digits,displayLocationInDecimal,encrypted,externalId,extraTypeInfo,filterable,filteredLookupInfo,groupable,highScaleNumber,htmlFormatted,idLookup,inlineHelpText,label,length,mask,maskType,name,nameField,namePointing,nillable,permissionable,picklistValues,polymorphicForeignKey,precision,queryByDistance,referenceTargetField,referenceTo,relationshipName,relationshipOrder,restrictedDelete,restrictedPicklist,scale,searchPrefilterable,soapType,sortable,type,unique,updateable,writeRequiresMasterRead
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,True,,Process Instance History ID,18,,,Id,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,tns:ID,True,id,False,False,False
False,False,0,False,,False,False,,,False,False,False,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Is Pending,0,,,IsPending,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,True,boolean,False,False,False
True,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Process Instance ID,18,,,ProcessInstanceId,False,False,False,False,[],False,0,False,,['ProcessInstance'],ProcessInstance,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Target Object ID,18,,,TargetObjectId,False,True,True,False,[],True,0,False,,"['Account', 'Account_Technical_Feature__c', 'Asset', 'AssetRelationship', 'Associated_Project__c', 'Auth_Contact_Join__c', 'Auth__c', 'Blog__c', 'CIM_Field__c', 'CIM_Table__c', 'Campaign', 'Case', 'Client_Story__c', 'Contact', 'Contract', 'DFA__c', 'Decoder_Wheel__c', 'Dictionary__c', 'DuplicateRecordItem', 'DuplicateRecordSet', 'EmailMessage', 'Endpoint_System_Attribute_Join__c', 'Endpoint__c', 'Engineering_Story__c', 'Environment__c', 'Error__c', 'ExternalEventMapping', 'FL_Field_Set_Field_Join__c', 'FL_Field_Set_Table_Join__c', 'FL_Field_Set__c', 'FL_Field__c', 'FL_Semantic_Bundle_Join__c', 'Field__c', 'Flag__c', 'Flow_Procedure_Join__c', 'Flow_URL_Join__c', 'Flow__c', 'G_Field__c', 'G_Instance__c', 'G_Pass__c', 'G_Version__c', 'Goods__c', 'Issue_Related_Technical_Feature__c', 'Issue__c', 'Job_Environment__c', 'Job_Plan_Step__c', 'Job_Plan__c', 'Job_Set_Step__c', 'Job_Set__c', 'Job_Task__c', 'Layer__c', 'Lead', 'Location', 'MFI_Field__c', 'MFI_Table_Procedure_Join__c', 'MFI_Table__c', 'Match_2_Operation__c', 'Opportunity', 'Opportunity_System_Join__c', 'Order', 'Order2__c', 'Pass_Mapping__c', 'Pass__c', 'Procedure_Note__c', 'Procedure_URL_Join__c', 'Procedure__c', 'Product2', 'ProfileSkill', 'ProfileSkillEndorsement', 'ProfileSkillUser', 'Project_Code__c', 'Project__c', 'Quote', 'Related_Account_Issue__c', 'Related_Case_Issue__c', 'Related_Solution__c', 'Related_System_Attribute__c', 'Semantic_Bundle__c', 'Semantic_Domain__c', 'SocialPost', 'Solution', 'Story_Requirement__c', 'StreamingChannel', 'System_Attribute__c', 'System__c', 'Technical_Feature__c', 'URL__c', 'UserProvisioningRequest', 'Variable__c', 'Vendor_Product_Blog_Join__c', 'WorkBadgeDefinition', 'dlrs__DeclarativeLookupRollupSummaries__c', 'dlrs__LookupChildAReallyReallyReallyBigBigName__c', 'dlrs__LookupChild__c', 'dlrs__LookupParent__c', 'dlrs__LookupRollupCalculateJob__c', 'dlrs__LookupRollupSummaryLog__c', 'dlrs__LookupRollupSummaryScheduleItems__c', 'dlrs__LookupRollupSummary__c', 'mMFI_Class__c', 'mMFI_Family__c', 'mMFI_Field__c', 'x_todel_CIM_Field__c', 'x_todel_CIM_Table__c']",TargetObject,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,120,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Status,40,,,StepStatus,False,False,True,False,"[OrderedDict([('active', True), ('defaultValue', False), ('label', 'Approved'), ('validFor', None), ('value', 'Approved')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Rejected'), ('validFor', None), ('value', 'Rejected')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Recalled'), ('validFor', None), ('value', 'Removed')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Fault'), ('validFor', None), ('value', 'Fault')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Pending'), ('validFor', None), ('value', 'Pending')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Hold'), ('validFor', None), ('value', 'Held')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Reassigned'), ('validFor', None), ('value', 'Reassigned')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Submitted'), ('validFor', None), ('value', 'Started')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'No Response'), ('validFor', None), ('value', 'NoResponse')])]",False,0,False,,[],,,False,True,0,False,xsd:string,True,picklist,False,False,False
True,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Process Node ID,18,,,ProcessNodeId,False,False,True,False,[],False,0,False,,['ProcessNode'],ProcessNode,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Original Actor ID,18,,,OriginalActorId,False,True,False,False,[],True,0,False,,"['Group', 'User']",OriginalActor,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Actor ID,18,,,ActorId,False,True,False,False,[],True,0,False,,"['Group', 'User']",Actor,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,0,False,,False,False,,,False,False,,,False,False,False,9,False,False,False,,True,,True,False,False,False,,RemindersSent,0,,,RemindersSent,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:int,True,int,False,False,False
True,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Elapsed Time in Days,0,,,ElapsedTimeInDays,False,False,True,False,[],False,18,False,,[],,,False,False,0,False,xsd:double,True,double,False,False,False
