aggregatable,autoNumber,byteLength,calculated,calculatedFormula,cascadeDelete,caseSensitive,compoundFieldName,controllerName,createable,custom,defaultValue,defaultValueFormula,defaultedOnCreate,dependentPicklist,deprecatedAndHidden,digits,displayLocationInDecimal,encrypted,externalId,extraTypeInfo,filterable,filteredLookupInfo,groupable,highScaleNumber,htmlFormatted,idLookup,inlineHelpText,label,length,mask,maskType,name,nameField,namePointing,nillable,permissionable,picklistValues,polymorphicForeignKey,precision,queryByDistance,referenceTargetField,referenceTo,relationshipName,relationshipOrder,restrictedDelete,restrictedPicklist,scale,searchPrefilterable,soapType,sortable,type,unique,updateable,writeRequiresMasterRead
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,True,,Process Instance Node ID,18,,,Id,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,tns:ID,True,id,False,False,False
False,False,0,False,,False,False,,,False,False,False,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Deleted,0,,,IsDeleted,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,True,boolean,False,False,False
True,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,,Created Date,0,,,CreatedDate,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Created By ID,18,,,CreatedById,False,False,False,False,[],False,0,False,,['User'],CreatedBy,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,,Last Modified Date,0,,,LastModifiedDate,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Last Modified By ID,18,,,LastModifiedById,False,False,False,False,[],False,0,False,,['User'],LastModifiedBy,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,,System Modstamp,0,,,SystemModstamp,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
True,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Process Instance ID,18,,,ProcessInstanceId,False,False,False,False,[],False,0,False,,['ProcessInstance'],ProcessInstance,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Process Node ID,18,,,ProcessNodeId,False,False,False,False,[],False,0,False,,['ProcessNode'],ProcessNode,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,765,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Node Status,255,,,NodeStatus,False,False,True,False,"[OrderedDict([('active', True), ('defaultValue', False), ('label', 'Approved'), ('validFor', None), ('value', 'Approved')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Rejected'), ('validFor', None), ('value', 'Rejected')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Recalled'), ('validFor', None), ('value', 'Removed')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Fault'), ('validFor', None), ('value', 'Fault')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Pending'), ('validFor', None), ('value', 'Pending')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Hold'), ('validFor', None), ('value', 'Held')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Reassigned'), ('validFor', None), ('value', 'Reassigned')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Submitted'), ('validFor', None), ('value', 'Started')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'No Response'), ('validFor', None), ('value', 'NoResponse')])]",False,0,False,,[],,,False,True,0,False,xsd:string,True,picklist,False,False,False
True,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Completed Date,0,,,CompletedDate,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
True,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,User ID,18,,,LastActorId,False,False,True,False,[],False,0,False,,['User'],LastActor,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,765,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Name,255,,,ProcessNodeName,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,False,False
True,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Elapsed Time in Days,0,,,ElapsedTimeInDays,False,False,True,False,[],False,7,False,,[],,,False,False,3,False,xsd:double,True,double,False,False,False
True,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Elapsed Time in Hours,0,,,ElapsedTimeInHours,False,False,True,False,[],False,7,False,,[],,,False,False,2,False,xsd:double,True,double,False,False,False
True,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Elapsed Time in Minutes,0,,,ElapsedTimeInMinutes,False,False,True,False,[],False,8,False,,[],,,False,False,0,False,xsd:double,True,double,False,False,False
