aggregatable,autoNumber,byteLength,calculated,calculatedFormula,cascadeDelete,caseSensitive,compoundFieldName,controllerName,createable,custom,defaultValue,defaultValueFormula,defaultedOnCreate,dependentPicklist,deprecatedAndHidden,digits,displayLocationInDecimal,encrypted,externalId,extraTypeInfo,filterable,filteredLookupInfo,groupable,highScaleNumber,htmlFormatted,idLookup,inlineHelpText,label,length,mask,maskType,name,nameField,namePointing,nillable,permissionable,picklistValues,polymorphicForeignKey,precision,queryByDistance,referenceTargetField,referenceTo,relationshipName,relationshipOrder,restrictedDelete,restrictedPicklist,scale,searchPrefilterable,soapType,sortable,type,unique,updateable,writeRequiresMasterRead
False,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,False,,False,False,False,True,,Change Event ID,18,,,Id,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,tns:ID,False,id,False,False,False
False,False,3000,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,Replay ID,1000,,,ReplayId,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,False,string,False,False,False
False,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,Change Event Header,0,,,ChangeEventHeader,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,ChangeEventHeader,False,complexvalue,False,False,False
False,False,765,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,Product Name,255,,,Name,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,False,string,False,False,False
False,False,765,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,Product Code,255,,,ProductCode,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,False,string,False,False,False
False,False,4000,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,plaintextarea,False,,False,False,False,False,,Product Description,4000,,,Description,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,False,textarea,False,False,False
False,False,0,False,,False,False,,,False,False,False,,True,False,False,0,False,False,False,,False,,False,False,False,False,,Active,0,,,IsActive,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,False,boolean,False,False,False
False,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,False,,False,False,False,False,,Created Date,0,,,CreatedDate,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,False,datetime,False,False,False
False,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,Created By ID,18,,,CreatedById,False,False,True,False,[],False,0,False,,['User'],,,False,False,0,False,tns:ID,False,reference,False,False,False
False,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,Last Modified Date,0,,,LastModifiedDate,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,False,datetime,False,False,False
False,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,Last Modified By ID,18,,,LastModifiedById,False,False,True,False,[],False,0,False,,['User'],,,False,False,0,False,tns:ID,False,reference,False,False,False
False,False,120,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,Product Family,40,,,Family,False,False,True,False,"[OrderedDict([('active', True), ('defaultValue', False), ('label', 'None'), ('validFor', None), ('value', 'None')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Strategy'), ('validFor', None), ('value', 'Strategy')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Model'), ('validFor', None), ('value', 'Model')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Tactical - Inter-System'), ('validFor', None), ('value', 'Tactical - Inter-System')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Tactical - Intra-System'), ('validFor', None), ('value', 'Tactical - Intra-System')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'OGS'), ('validFor', None), ('value', 'OGS')])]",False,0,False,,[],,,False,False,0,False,xsd:string,False,picklist,False,False,False
False,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,External Data Source ID,18,,,ExternalDataSourceId,False,False,True,False,[],False,0,False,,['ExternalDataSource'],,,False,False,0,False,tns:ID,False,reference,False,False,False
False,False,765,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,External ID,255,,,ExternalId,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,False,string,False,False,False
False,False,3000,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,Display URL,1000,,,DisplayUrl,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,False,url,False,False,False
False,False,120,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,Quantity Unit Of Measure,40,,,QuantityUnitOfMeasure,False,False,True,False,"[OrderedDict([('active', True), ('defaultValue', False), ('label', 'Each'), ('validFor', None), ('value', 'Each')])]",False,0,False,,[],,,False,False,0,False,xsd:string,False,picklist,False,False,False
False,False,540,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,Product SKU,180,,,StockKeepingUnit,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,False,string,False,False,False
