aggregatable,autoNumber,byteLength,calculated,calculatedFormula,cascadeDelete,caseSensitive,compoundFieldName,controllerName,createable,custom,defaultValue,defaultValueFormula,defaultedOnCreate,dependentPicklist,deprecatedAndHidden,digits,displayLocationInDecimal,encrypted,externalId,extraTypeInfo,filterable,filteredLookupInfo,groupable,highScaleNumber,htmlFormatted,idLookup,inlineHelpText,label,length,mask,maskType,name,nameField,namePointing,nillable,permissionable,picklistValues,polymorphicForeignKey,precision,queryByDistance,referenceTargetField,referenceTo,relationshipName,relationshipOrder,restrictedDelete,restrictedPicklist,scale,searchPrefilterable,soapType,sortable,type,unique,updateable,writeRequiresMasterRead
False,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,True,,Relationship Domain ID,18,,,Id,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,tns:ID,True,id,False,False,False
False,False,765,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Relationship Domain Durable ID,255,,,DurableId,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,False,False
False,False,210,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Entity Definition ID,70,,,ParentSobjectId,False,False,True,False,[],False,0,False,,['EntityDefinition'],ParentSobject,,False,False,0,False,xsd:string,True,string,False,False,False
False,False,210,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Entity Definition ID,70,,,ChildSobjectId,False,False,True,False,[],False,0,False,,['EntityDefinition'],ChildSobject,,False,False,0,False,xsd:string,True,string,False,False,False
False,False,210,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Field Definition ID,70,,,FieldId,False,False,True,False,[],False,0,False,,['FieldDefinition'],Field,,False,False,0,False,xsd:string,True,string,False,False,False
False,False,210,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Relationship Info ID,70,,,RelationshipInfoId,False,False,True,False,[],False,0,False,,['RelationshipInfo'],RelationshipInfo,,False,False,0,False,xsd:string,True,string,False,False,False
False,False,240,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Relationship Name,80,,,RelationshipName,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,False,False
False,False,0,False,,False,False,,,False,False,False,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Is Cascade Delete?,0,,,IsCascadeDelete,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,True,boolean,False,False,False
False,False,0,False,,False,False,,,False,False,False,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Is Deprecated And Hidden?,0,,,IsDeprecatedAndHidden,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,True,boolean,False,False,False
False,False,0,False,,False,False,,,False,False,False,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Is Restricted Delete?,0,,,IsRestrictedDelete,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,True,boolean,False,False,False
False,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,False,,False,False,False,False,,Names of the Junction Id Lists,0,,,JunctionIdListNames,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,urn:JunctionIdListNames,False,complexvalue,False,False,False
