aggregatable,autoNumber,byteLength,calculated,calculatedFormula,cascadeDelete,caseSensitive,compoundFieldName,controllerName,createable,custom,defaultValue,defaultValueFormula,defaultedOnCreate,dependentPicklist,deprecatedAndHidden,digits,displayLocationInDecimal,encrypted,externalId,extraTypeInfo,filterable,filteredLookupInfo,groupable,highScaleNumber,htmlFormatted,idLookup,inlineHelpText,label,length,mask,maskType,name,nameField,namePointing,nillable,permissionable,picklistValues,polymorphicForeignKey,precision,queryByDistance,referenceTargetField,referenceTo,relationshipName,relationshipOrder,restrictedDelete,restrictedPicklist,scale,searchPrefilterable,soapType,sortable,type,unique,updateable,writeRequiresMasterRead
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,True,,Reputation Points Rule ID,18,,,Id,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,tns:ID,True,id,False,False,False
False,False,0,False,,False,False,,,False,False,False,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Deleted,0,,,IsDeleted,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,True,boolean,False,False,False
True,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,,Created Date,0,,,CreatedDate,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Created By ID,18,,,CreatedById,False,False,False,False,[],False,0,False,,['User'],CreatedBy,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,,Last Modified Date,0,,,LastModifiedDate,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Last Modified By ID,18,,,LastModifiedById,False,False,False,False,[],False,0,False,,['User'],LastModifiedBy,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,,System Modstamp,0,,,SystemModstamp,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
True,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Parent ID,18,,,ParentId,False,True,False,False,[],True,0,False,,"['Network', 'Organization']",Parent,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,765,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Event Type,255,,,Type,False,False,False,False,"[OrderedDict([('active', True), ('defaultValue', False), ('label', 'Write a post'), ('validFor', None), ('value', 'FeedItemWriteAPost')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Write a comment'), ('validFor', None), ('value', 'FeedItemWriteAComment')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Receive a comment'), ('validFor', None), ('value', 'FeedItemReceiveAComment')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Like something'), ('validFor', None), ('value', 'FeedItemLikeSomething')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Receive a like'), ('validFor', None), ('value', 'FeedItemReceiveALike')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Share a post'), ('validFor', None), ('value', 'FeedItemShareAPost')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Someone shares your post'), ('validFor', None), ('value', 'FeedItemSomeoneSharesYourPost')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Mention someone'), ('validFor', None), ('value', 'FeedItemMentionSomeone')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Receive a mention'), ('validFor', None), ('value', 'FeedItemReceiveAMention')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Ask a question'), ('validFor', None), ('value', 'FeedItemPostQuestion')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Answer a question'), ('validFor', None), ('value', 'FeedItemAnswerAQuestion')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Receive an answer'), ('validFor', None), ('value', 'FeedItemReceiveAnAnswer')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Mark an answer as best'), ('validFor', None), ('value', 'FeedItemMarkAnswerAsBest')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Your answer is marked as best'), ('validFor', None), ('value', 'FeedItemYourAnswerMarkedBest')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Endorsing someone for knowledge on a topic'), ('validFor', None), ('value', 'EndorseSomeoneForKnowledgeOnATopic')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Being endorsed for knowledge on a topic'), ('validFor', None), ('value', 'EndorsedForKnowledgeOnATopic')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Upload a Profile Picture'), ('validFor', None), ('value', 'ProfilePhotoUpload')])]",False,0,False,,[],,,False,True,0,False,xsd:string,True,picklist,False,False,False
True,False,0,False,,False,False,,,False,False,,,False,False,False,6,False,False,False,,True,,True,False,False,False,,Points,0,,,Points,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:int,True,int,False,False,False
