aggregatable,autoNumber,byteLength,calculated,calculatedFormula,cascadeDelete,caseSensitive,compoundFieldName,controllerName,createable,custom,defaultValue,defaultValueFormula,defaultedOnCreate,dependentPicklist,deprecatedAndHidden,digits,displayLocationInDecimal,encrypted,externalId,extraTypeInfo,filterable,filteredLookupInfo,groupable,highScaleNumber,htmlFormatted,idLookup,inlineHelpText,label,length,mask,maskType,name,nameField,namePointing,nillable,permissionable,picklistValues,polymorphicForeignKey,precision,queryByDistance,referenceTargetField,referenceTo,relationshipName,relationshipOrder,restrictedDelete,restrictedPicklist,scale,searchPrefilterable,soapType,sortable,type,unique,updateable,writeRequiresMasterRead
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,True,,Site ID,18,,,Id,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,tns:ID,True,id,False,False,False
True,False,240,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Site Name,80,,,Name,True,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,False,False
True,False,240,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Site Subdomain Prefix,80,,,Subdomain,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,False,False
True,False,120,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Default Web Address,40,,,UrlPathPrefix,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,False,False
True,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,User ID,18,,,GuestUserId,False,False,True,False,[],False,0,False,,['User'],GuestUser,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,120,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Site Status,40,,,Status,False,False,False,False,"[OrderedDict([('active', True), ('defaultValue', False), ('label', 'Active'), ('validFor', None), ('value', 'Active')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'In Maintenance'), ('validFor', None), ('value', 'Inactive')])]",False,0,False,,[],,,False,True,0,False,xsd:string,True,picklist,False,False,False
True,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,User ID,18,,,AdminId,False,False,False,False,[],False,0,False,,['User'],Admin,,False,False,0,False,tns:ID,True,reference,False,False,False
False,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Enable Feeds,0,,,OptionsEnableFeeds,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,False,boolean,False,False,False
False,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Require Secure Connections (HTTPS),0,,,OptionsRequireHttps,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,False,boolean,False,False,False
False,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Enable Standard Home Page,0,,,OptionsAllowHomePage,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,False,boolean,False,False,False
False,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Enable Standard Ideas Pages,0,,,OptionsAllowStandardIdeasPages,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,False,boolean,False,False,False
False,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Enable Standard Lookup Pages,0,,,OptionsAllowStandardSearch,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,False,boolean,False,False,False
False,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Enable Standard Search Pages,0,,,OptionsAllowStandardLookups,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,False,boolean,False,False,False
False,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Enable Standard Answers Pages,0,,,OptionsAllowStandardAnswersPages,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,False,boolean,False,False,False
False,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Guest Access to the Support API,0,,,OptionsAllowGuestSupportApi,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,False,boolean,False,False,False
False,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Allow Access to Standard Salesforce Pages,0,,,OptionsAllowStandardPortalPages,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,False,boolean,False,False,False
False,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Upgrade all requests to HTTPS,0,,,OptionsCspUpgradeInsecureRequests,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,False,boolean,False,False,False
False,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Enable Content Sniffing Protection,0,,,OptionsContentSniffingProtection,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,False,boolean,False,False,False
False,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Enable Browser Cross Site Scripting Protection,0,,,OptionsBrowserXssProtection,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,False,boolean,False,False,False
False,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Referrer URL Protection,0,,,OptionsReferrerPolicyOriginWhenCrossOrigin,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,False,boolean,False,False,False
True,False,3000,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,plaintextarea,True,,False,False,False,False,,Site Description,1000,,,Description,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,textarea,False,False,False
True,False,765,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Site Label,255,,,MasterLabel,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,False,False
True,False,120,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Analytics Tracking Code,40,,,AnalyticsTrackingCode,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,False,False
True,False,120,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Site Type,40,,,SiteType,False,False,False,False,"[OrderedDict([('active', True), ('defaultValue', False), ('label', 'Site.com'), ('validFor', None), ('value', 'Siteforce')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Force.com'), ('validFor', None), ('value', 'Visualforce')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Community'), ('validFor', None), ('value', 'ChatterNetwork')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Site.com Community'), ('validFor', None), ('value', 'ChatterNetworkPicasso')])]",False,0,False,,[],,,False,True,0,False,xsd:string,True,picklist,False,False,False
True,False,120,False,,False,False,,,False,False,SameOriginOnly,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Clickjack Protection Level,40,,,ClickjackProtectionLevel,False,False,False,False,"[OrderedDict([('active', True), ('defaultValue', False), ('label', 'Allow framing by any page (No protection)'), ('validFor', None), ('value', 'AllowAllFraming')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Allow framing of site pages on external domains (Good protection)'), ('validFor', None), ('value', 'External')]), OrderedDict([('active', True), ('defaultValue', True), ('label', 'Allow framing by the same origin only (Recommended)'), ('validFor', None), ('value', 'SameOriginOnly')]), OrderedDict([('active', True), ('defaultValue', False), ('label', ""Don't allow framing by any page (Most protection)""), ('validFor', None), ('value', 'NoFraming')])]",False,0,False,,[],,,False,True,0,False,xsd:string,True,picklist,False,False,False
True,False,0,False,,False,False,,,False,False,,,False,False,False,9,False,False,False,,True,,True,False,False,False,,Daily Bandwidth Limit (MB),0,,,DailyBandwidthLimit,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:int,True,int,False,False,False
