aggregatable,autoNumber,byteLength,calculated,calculatedFormula,cascadeDelete,caseSensitive,compoundFieldName,controllerName,createable,custom,defaultValue,defaultValueFormula,defaultedOnCreate,dependentPicklist,deprecatedAndHidden,digits,displayLocationInDecimal,encrypted,externalId,extraTypeInfo,filterable,filteredLookupInfo,groupable,highScaleNumber,htmlFormatted,idLookup,inlineHelpText,label,length,mask,maskType,name,nameField,namePointing,nillable,permissionable,picklistValues,polymorphicForeignKey,precision,queryByDistance,referenceTargetField,referenceTo,relationshipName,relationshipOrder,restrictedDelete,restrictedPicklist,scale,searchPrefilterable,soapType,sortable,type,unique,updateable,writeRequiresMasterRead
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,True,,Identity Verification ID,18,,,Id,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,tns:ID,True,id,False,False,False
True,False,0,False,,False,False,,,False,False,,,False,False,False,9,False,False,False,,True,,True,False,False,False,,Verification Attempt,0,,,EventGroup,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:int,True,int,False,False,False
True,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,,Time,0,,,VerificationTime,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
True,False,765,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Method,255,,,VerificationMethod,False,False,True,False,"[OrderedDict([('active', True), ('defaultValue', False), ('label', 'One-time password'), ('validFor', None), ('value', 'Totp')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Text message'), ('validFor', None), ('value', 'Sms')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Email message'), ('validFor', None), ('value', 'Email')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Salesforce Authenticator'), ('validFor', None), ('value', 'SalesforceAuthenticator')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Temporary code'), ('validFor', None), ('value', 'TempCode')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'U2F security key'), ('validFor', None), ('value', 'U2F')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Lightning Login'), ('validFor', None), ('value', 'LL')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Lightning Login'), ('validFor', None), ('value', 'EnableLL')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Password'), ('validFor', None), ('value', 'Password')])]",False,0,False,,[],,,False,True,0,False,xsd:string,True,picklist,False,False,False
True,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,User ID,18,,,UserId,False,False,False,False,[],False,0,False,,['User'],User,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,765,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,User Activity,255,,,Activity,False,False,False,False,"[OrderedDict([('active', True), ('defaultValue', False), ('label', 'Register for verification'), ('validFor', None), ('value', 'Registration')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Perform an operation that requires extra verification'), ('validFor', None), ('value', 'ExtraVerification')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Log in to Salesforce'), ('validFor', None), ('value', 'Login')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Access reports'), ('validFor', None), ('value', 'AccessReports')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Export and print reports'), ('validFor', None), ('value', 'ExportPrintReports')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Access a connected app'), ('validFor', None), ('value', 'ConnectedApp')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Apex-defined activity'), ('validFor', None), ('value', 'Apex')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Generate a temporary verification code'), ('validFor', None), ('value', 'TempCode')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Enroll in Lightning Login'), ('validFor', None), ('value', 'EnableLL')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Connect a One-Time Password Generator'), ('validFor', None), ('value', 'ConnectTotp')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Connect Salesforce Authenticator'), ('validFor', None), ('value', 'ConnectToopher')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Connect a U2F Security Key'), ('validFor', None), ('value', 'ConnectU2F')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Change your email address'), ('validFor', None), ('value', 'ChangeEmail')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Access the list view'), ('validFor', None), ('value', 'ListView')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Connect a mobile phone number'), ('validFor', None), ('value', 'ConnectSms')])]",False,0,False,,[],,,False,True,0,False,xsd:string,True,picklist,False,False,False
True,False,765,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Status,255,,,Status,False,False,False,False,"[OrderedDict([('active', True), ('defaultValue', False), ('label', 'Initiated'), ('validFor', None), ('value', 'Initiated')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'User challenged; waiting for response'), ('validFor', None), ('value', 'InProgress')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Succeeded'), ('validFor', None), ('value', 'Succeeded')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Access denied'), ('validFor', None), ('value', 'Denied')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Failed: Recoverable error'), ('validFor', None), ('value', 'RecoverableError')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Failed: General error'), ('validFor', None), ('value', 'FailedGeneralError')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Failed: Invalid verification code'), ('validFor', None), ('value', 'FailedInvalidCode')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Failed: Too many attempts'), ('validFor', None), ('value', 'FailedTooManyAttempts')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Succeeded: Automated response'), ('validFor', None), ('value', 'AutomatedSuccess')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Access denied: Flagged by user'), ('validFor', None), ('value', 'ReportedDenied')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Failed: Password Lockout'), ('validFor', None), ('value', 'FailedPasswordLockout')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Failed: Invalid Password'), ('validFor', None), ('value', 'FailedInvalidPassword')])]",False,0,False,,[],,,False,True,0,False,xsd:string,True,picklist,False,False,False
True,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Login History ID,18,,,LoginHistoryId,False,False,False,False,[],False,0,False,,['LoginHistory'],LoginHistory,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,600,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Source IP,200,,,SourceIp,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,False,False
True,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Login Geo Data ID,18,,,LoginGeoId,False,False,True,False,[],False,0,False,,['LoginGeo'],LoginGeo,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,765,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Activity Message,255,,,Remarks,False,False,True,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,False,False
True,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Connected App ID,18,,,ResourceId,False,False,True,False,[],False,0,False,,['ConnectedApplication'],Resource,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,765,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,True,False,False,False,,Triggered By,255,,,Policy,False,False,False,False,"[OrderedDict([('active', True), ('defaultValue', False), ('label', 'High assurance session required'), ('validFor', None), ('value', 'HighAssurance')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Access a protected page'), ('validFor', None), ('value', 'PageAccess')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Profile session level policy'), ('validFor', None), ('value', 'ProfilePolicy')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Multi-factor authentication required'), ('validFor', None), ('value', 'TwoFactorAuthentication')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Activation'), ('validFor', None), ('value', 'DeviceActivation')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Extra Verification'), ('validFor', None), ('value', 'ExtraVerification')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Lightning Login'), ('validFor', None), ('value', 'LightningLogin')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Enroll in Lightning Login'), ('validFor', None), ('value', 'EnableLightningLogin')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Apex method'), ('validFor', None), ('value', 'CustomApex')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Passwordless Login'), ('validFor', None), ('value', 'PasswordlessLogin')])]",False,0,False,,[],,,False,True,0,False,xsd:string,True,picklist,False,False,False
True,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,,Created Date,0,,,CreatedDate,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Created By ID,18,,,CreatedById,False,False,False,False,[],False,0,False,,['User'],CreatedBy,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Last Modified By ID,18,,,LastModifiedById,False,False,False,False,[],False,0,False,,['User'],LastModifiedBy,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,,Last Modified Date,0,,,LastModifiedDate,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
False,False,0,False,,False,False,,,False,False,False,,True,False,False,0,False,False,False,,True,,True,False,False,False,,Deleted,0,,,IsDeleted,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,True,boolean,False,False,False
True,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,,System Modstamp,0,,,SystemModstamp,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:dateTime,True,datetime,False,False,False
